 
Mass percent  	      Group : bas-Glas      	  Sample : 201216_Fr       	 Page 	  1 	 
 
   No. 	   Na2O  	   SO3   	   FeO   	   SiO2  	   Cl    	   F     	   K2O   	   MnO   	   Al2O3 	   P2O5  	   MgO   	   CaO   	   TiO2  	  Total  	Comment  
    1  	  2.8000 	  0.0408 	 13.6000 	 51.1600 	  0.0237 	  0.0126 	  0.8138 	  0.1786 	 12.3000 	  0.3881 	  5.1300 	  9.2700 	  4.0800 	 99.7976 	VGA99_ 
    2  	  2.7000 	  0.0232 	 13.4600 	 51.2400 	  0.0300 	  0.0791 	  0.8142 	  0.2468 	 12.4800 	  0.3543 	  5.2000 	  9.3700 	  4.0600 	100.0575 	VGA99_ 
    3  	  2.6900 	  0.3666 	 11.7600 	 51.6600 	  0.0331 	  0.0693 	  0.1994 	  0.2396 	 14.0300 	  0.1729 	  7.0400 	 11.3800 	  1.8200 	101.4608 	VG-2_ 
    4  	  2.6000 	  0.3591 	 12.1000 	 51.6000 	  0.0346 	  0.0702 	  0.1893 	  0.2448 	 14.0400 	  0.1601 	  7.1700 	 11.3100 	  1.8500 	101.7280 	VG-2_ 
    5  	  6.2100 	  0.0261 	  7.8600 	 70.7700 	  0.3989 	  0.4579 	  4.2900 	  0.1916 	  8.8300 	  0.0161 	  0.0224 	  0.3960 	  0.3392 	 99.8083 	KE3_ 
    6  	  2.3600 	  0.0348 	  8.0000 	 72.7200 	  0.3848 	  0.5147 	  4.1600 	  0.2905 	  8.8500 	  0.0147 	  0.0417 	  0.4585 	  0.3403 	 98.1701 	KE3_ 
    7  	  5.3500 	  1.3920 	  0.1958 	 51.0400 	  1.4500 	  0.0068 	  0.8437 	  0.0059 	 25.8800 	  0.0203 	  0.0000 	 13.8800 	  0.0025 	100.0669 	Scap 
    8  	  5.1900 	  1.3602 	  0.0852 	 50.9500 	  1.4200 	  0.0000 	  0.8733 	  0.0350 	 25.4600 	  0.0014 	  0.0020 	 14.0200 	  0.0129 	 99.4100 	Scap 
    9  	  2.6500 	  0.0175 	 13.7900 	 46.0000 	  0.1143 	  0.1165 	  1.7500 	  0.2421 	 14.9000 	  0.6354 	  5.0700 	 11.2200 	  4.0000 	100.5058 	1982-CS2-L3A_1 
   10  	  2.5900 	  0.0165 	 13.7500 	 45.9700 	  0.1074 	  0.1600 	  1.7700 	  0.2200 	 14.9900 	  0.6266 	  5.0800 	 11.1200 	  3.9000 	100.3005 	1982-CS2-L3A_2 
   11  	  2.9000 	  0.0292 	 13.4900 	 45.6300 	  0.1246 	  0.1055 	  1.8300 	  0.2252 	 15.0100 	  0.6494 	  5.0700 	 11.1600 	  3.9000 	100.1238 	1982-CS2-L3A_3 
   12  	  2.6500 	  0.0435 	 13.6300 	 46.2000 	  0.1232 	  0.1241 	  1.5800 	  0.2200 	 14.9300 	  0.5646 	  5.1700 	 11.2200 	  3.9900 	100.4453 	1982-CS2-L3A_4 
   13  	  2.3800 	  0.0543 	 13.9800 	 45.9500 	  0.1250 	  0.1296 	  1.6900 	  0.2635 	 15.0600 	  0.7034 	  5.0000 	 11.3200 	  3.9700 	100.6257 	1982-CS2-L3A_5 
