 
Mass percent  	      Group : Olivine       	  Sample : 010317Fr        	 Page 	  1 	 
 
   No. 	   MgO   	   MnO   	   FeO   	   SiO2  	   CaO   	   Cr2O3 	   NiO   	   Al2O3 	  Total  	Comment  
    1  	 49.7800 	  0.1478 	  9.5600 	 39.7200 	  0.1024 	  0.0311 	  0.3672 	  0.0316 	 99.7402 	SC-Olivine 
    2  	 49.6500 	  0.1413 	  9.6100 	 39.7600 	  0.0978 	  0.0162 	  0.3810 	  0.0330 	 99.6893 	SC-Olivine 
    3  	 49.6000 	  0.1440 	  9.5000 	 39.6500 	  0.1039 	  0.0179 	  0.3469 	  0.0344 	 99.3971 	SC-Olivine 
    4  	 46.0100 	  0.2421 	 14.5000 	 38.7000 	  0.3536 	  0.0355 	  0.2042 	  0.0358 	100.0811 	UnkA-C20-S2-1MI_1_1 
    5  	 45.7300 	  0.2578 	 14.8800 	 38.5200 	  0.3530 	  0.0244 	  0.1967 	  0.0340 	 99.9959 	UnkA-C20-S2-1MI_1_2 
    6  	 46.3000 	  0.2209 	 13.9200 	 39.7100 	  0.3368 	  0.0266 	  0.2088 	  0.0248 	100.7479 	UnkA-C20-S2-1MI_1_3 
    7  	 44.9600 	  0.2504 	 15.3200 	 40.0000 	  0.3416 	  0.0176 	  0.1803 	  0.0352 	101.1050 	UnkA-C20-S2-1MI_2_1 
    8  	 44.9200 	  0.2524 	 15.2200 	 38.4300 	  0.3443 	  0.0110 	  0.1934 	  0.0391 	 99.4103 	UnkA-C20-S2-1MI_2_2 
    9  	 44.4900 	  0.2462 	 15.3700 	 39.0800 	  0.3368 	  0.0049 	  0.1965 	  0.0488 	 99.7733 	UnkA-C20-S2-1MI_2_3 
   10  	 47.3000 	  0.2065 	 12.7700 	 38.9900 	  0.3588 	  0.0418 	  0.2019 	  0.0451 	 99.9142 	UnkA-C20-S2-1MI_3_1 
   11  	 47.2700 	  0.2181 	 12.9700 	 39.0200 	  0.3563 	  0.0319 	  0.2124 	  0.0242 	100.1029 	UnkA-C20-S2-1MI_3_2 
   12  	 47.1400 	  0.2082 	 12.8300 	 40.1500 	  0.3522 	  0.0436 	  0.2098 	  0.0344 	100.9682 	UnkA-C20-S2-1MI_3_3 
   13  	 47.4700 	  0.2114 	 12.9000 	 40.0100 	  0.3616 	  0.0332 	  0.2190 	  0.0353 	101.2405 	UnkA-C20-S2-1MI_4_1 
   14  	 47.1300 	  0.2032 	 13.0400 	 40.0500 	  0.3526 	  0.0334 	  0.2194 	  0.0227 	101.0512 	UnkA-C20-S2-1MI_4_2 
   15  	 47.6000 	  0.2045 	 12.5800 	 38.7900 	  0.3553 	  0.0403 	  0.2182 	  0.0380 	 99.8264 	UnkA-C20-S2-1MI_4_3 
   16  	 46.0400 	  0.2346 	 14.2900 	 39.8600 	  0.3247 	  0.0684 	  0.1969 	  0.0368 	101.0513 	UnkA-C20-S2-1MI_5_1 
   17  	 46.1300 	  0.2272 	 14.3000 	 38.9100 	  0.3221 	  0.0279 	  0.2127 	  0.0280 	100.1578 	UnkA-C20-S2-1MI_5_2 
   18  	 46.2200 	  0.2320 	 14.3900 	 38.8400 	  0.3174 	  0.0152 	  0.2109 	  0.0279 	100.2533 	UnkA-C20-S2-1MI_5_3 
   19  	 47.2700 	  0.2178 	 12.7700 	 38.7900 	  0.3511 	  0.0395 	  0.2204 	  0.0288 	 99.6877 	UnkA-C20-S2-1MI_6_1 
   20  	 47.4300 	  0.1987 	 12.7200 	 38.8600 	  0.3528 	  0.0400 	  0.2165 	  0.0268 	 99.8449 	UnkA-C20-S2-1MI_6_2 
   21  	 47.1900 	  0.2171 	 13.0400 	 38.7900 	  0.3694 	  0.0311 	  0.2205 	  0.0313 	 99.8895 	UnkA-C20-S2-1MI_6_3 
   22  	 46.2500 	  0.2340 	 14.1700 	 38.7200 	  0.3421 	  0.0390 	  0.2248 	  0.0300 	100.0098 	UnkA-C20-S2-1MI_7_1 
   23  	 46.3800 	  0.2387 	 14.2200 	 38.8400 	  0.3370 	  0.0224 	  0.2264 	  0.0282 	100.2926 	UnkA-C20-S2-1MI_7_2 
   24  	 46.2100 	  0.2271 	 14.0200 	 39.8500 	  0.3371 	  0.0231 	  0.2206 	  0.0392 	100.9270 	UnkA-C20-S2-1MI_7_3 
   25  	 49.7100 	  0.1437 	  9.5100 	 39.6500 	  0.0992 	  0.0072 	  0.3527 	  0.0314 	 99.5043 	SC-Olivine 
   26  	 49.7400 	  0.1491 	  9.4400 	 39.6100 	  0.1043 	  0.0142 	  0.3645 	  0.0321 	 99.4543 	SC-Olivine 
   27  	 49.7400 	  0.1368 	  9.5300 	 39.4600 	  0.1035 	  0.0190 	  0.3459 	  0.0368 	 99.3720 	SC-Olivine 
   28  	 47.0800 	  0.1990 	 12.5500 	 40.4100 	  0.3319 	  0.0536 	  0.2212 	  0.0444 	100.8900 	UnkA-C20-S2-3MI_1_1 
   29  	 46.8800 	  0.2194 	 12.8500 	 40.3500 	  0.3747 	  0.0302 	  0.2200 	  0.0396 	100.9638 	UnkA-C20-S2-3MI_1_2 
   30  	 47.2200 	  0.1920 	 12.3900 	 40.5300 	  0.3117 	  0.0331 	  0.2166 	  0.0327 	100.9260 	UnkA-C20-S2-3MI_1_3 
   31  	 45.8300 	  0.2290 	 14.2100 	 40.1800 	  0.3540 	  0.0200 	  0.2329 	  0.0366 	101.0924 	UnkA-C20-S2-3MI_2_1 
   32  	 46.1200 	  0.2321 	 13.9600 	 40.2300 	  0.3495 	  0.0286 	  0.2383 	  0.0368 	101.1952 	UnkA-C20-S2-3MI_2_2 
   33  	 46.6200 	  0.2274 	 13.9400 	 40.0300 	  0.3399 	  0.0284 	  0.2447 	  0.0288 	101.4591 	UnkA-C20-S2-3MI_2_3 
   34  	 44.9200 	  0.2532 	 15.5300 	 40.0400 	  0.3491 	  0.0094 	  0.2182 	  0.0357 	101.3555 	UnkA-C20-S2-3MI_3_1 
   35  	 44.9600 	  0.2596 	 15.7700 	 39.9500 	  0.3486 	  0.0103 	  0.1946 	  0.0316 	101.5247 	UnkA-C20-S2-3MI_3_2 
   36  	 44.9700 	  0.2526 	 15.7900 	 40.0100 	  0.3502 	  0.0254 	  0.1998 	  0.0375 	101.6354 	UnkA-C20-S2-3MI_3_3 
