sample,oxide,No,Q_exp,Q_crit,value
1982-CS2-L5B,SiO2,23,0.462,0.437,46.75
UnknA-BatokeCS1-3,Na2O,65,0.469,0.437,8.61
UnknA-BatokeCS1-3,K2O,65,0.482,0.437,1.32
UnknA-BatokeCS1-3,Cl,70,0.697,0.437,0.6951
UnknA-C21,TiO2,29,0.6,0.437,3.7
UnknA-C21,CaO,32,0.583,0.437,10.2
UnknA-C21,SO3,32,0.975,0.437,2.1971
UnknA-C21,Cl,27,0.718,0.437,0.0678
UnknA-C22-PS1-L2,Na2O,38,0.459,0.437,4.28
UnknA-C22-PS1-L3,TiO2,49,0.884,0.437,2.34
UnknA-C22-PS1-L3,Al2O3,49,0.954,0.437,6.4
UnknA-C22-PS1-L3,FeO,49,0.593,0.437,7.38
UnknA-C22-PS1-L3,MgO,49,0.958,0.437,13.83
UnknA-C22-PS1-L3,CaO,49,0.861,0.437,23.28
UnknA-C22-PS1-L3,Na2O,49,0.734,0.437,0.4033
UnknA-C22-PS1-L3,P2O5,49,0.76,0.437,0.0021
UnknA-C22-PS1-L3,Cl,49,0.735,0.437,0.0022
UnknA-Flow1-1,CaO,94,0.36,0.313,10.59
UnknA-Flow1-2,Cl,82,0.607,0.437,0.0495
