No.,element,peak_mm,net_cps,bg_minus,bg_plus,sd_pct,dl_ppm,flagged
1,Na,129.476,231.6,0.0,14.5,2.14,145.0,False
1,S,171.948,2.1,5.9,4.9,30.75,113.0,False
1,Fe,134.739,186.3,3.5,4.1,1.67,453.0,False
1,Si,77.822,3625.9,31.4,18.5,0.37,226.0,False
1,Cl,151.478,3.8,8.7,7.8,21.47,46.0,False
1,F,199.14,0.2,4.5,3.5,345.94,412.0,True
1,K,119.485,180.9,27.6,21.4,1.54,58.0,False
1,Mn,146.243,2.2,1.9,1.5,19.96,268.0,False
1,Al,90.995,857.0,15.2,9.5,0.78,160.0,False
1,P,197.118,13.6,2.7,2.8,7.21,149.0,False
1,Mg,107.534,584.1,42.3,0.0,0.96,179.0,False
1,Ca,107.121,1925.2,31.9,35.9,0.52,89.0,False
1,Ti,88.305,686.7,0.0,45.5,0.88,126.0,False
2,Na,129.476,223.3,0.0,17.1,2.2,157.0,False
2,S,171.948,1.2,7.3,5.0,54.84,120.0,True
2,Fe,134.739,184.4,2.3,3.1,1.67,387.0,False
2,Si,77.822,3631.5,30.1,20.2,0.37,226.0,False
2,Cl,151.478,4.8,8.1,6.7,16.69,43.0,False
2,F,199.14,1.0,3.5,3.5,53.46,379.0,True
2,K,119.485,181.0,27.1,21.3,1.53,57.0,False
2,Mn,146.243,3.0,1.7,1.5,15.18,258.0,False
2,Al,90.995,870.2,15.0,11.4,0.77,164.0,False
2,P,197.118,12.5,2.9,2.9,7.71,152.0,False
2,Mg,107.534,593.3,38.8,0.0,0.95,171.0,False
2,Ca,107.121,1946.1,31.6,36.3,0.52,89.0,False
2,Ti,88.305,683.0,0.0,46.2,0.88,127.0,False
3,Na,129.476,229.8,0.0,18.2,2.17,162.0,False
3,S,171.948,19.0,5.5,5.9,5.32,118.0,False
3,Fe,134.739,160.8,2.8,3.3,1.8,406.0,False
3,Si,77.822,3649.3,31.4,20.4,0.37,229.0,False
3,Cl,151.478,5.3,8.7,7.9,16.06,46.0,False
3,F,199.14,0.9,3.7,2.7,59.47,369.0,True
3,K,119.485,44.2,23.3,20.5,3.89,54.0,False
3,Mn,146.243,2.9,1.7,1.8,15.99,270.0,False
