No.,Comment,date,kV,dia,curr_A,X,Y,Z,datetime
1,VGA99_,Dec 20 16:18 2016,15.0,5.0,1.002e-08,42.5705,29.732,11.401,2016-12-20 16:18:00
2,VGA99_,Dec 20 16:21 2016,15.0,5.0,1.002e-08,42.5565,29.73,11.401,2016-12-20 16:21:00
3,VG-2_,Dec 20 16:25 2016,15.0,5.0,1.003e-08,60.2415,33.553,11.3695,2016-12-20 16:25:00
4,VG-2_,Dec 20 16:28 2016,15.0,5.0,1.003e-08,60.1845,33.5905,11.37,2016-12-20 16:28:00
5,KE3_,Dec 20 16:32 2016,15.0,5.0,1.003e-08,47.783,23.558,11.4,2016-12-20 16:32:00
6,KE3_,Dec 20 16:35 2016,15.0,5.0,1.003e-08,47.71,23.496,11.399,2016-12-20 16:35:00
7,Scap,Dec 20 16:38 2016,15.0,5.0,1.003e-08,21.2345,23.613,11.529,2016-12-20 16:38:00
8,Scap,Dec 20 16:42 2016,15.0,5.0,1.003e-08,21.25,23.621,11.529,2016-12-20 16:42:00
9,1982-CS2-L3A_1,Dec 20 16:45 2016,15.0,5.0,1.003e-08,20.657,85.0745,11.299,2016-12-20 16:45:00
10,1982-CS2-L3A_2,Dec 20 16:49 2016,15.0,5.0,1.004e-08,20.727,85.3335,11.2975,2016-12-20 16:49:00
11,1982-CS2-L3A_3,Dec 20 16:52 2016,15.0,5.0,1.004e-08,20.241,84.7885,11.305,2016-12-20 16:52:00
12,1982-CS2-L3A_4,Dec 20 16:56 2016,15.0,5.0,1.004e-08,19.9485,84.8465,11.3085,2016-12-20 16:56:00
13,1982-CS2-L3A_5,Dec 20 16:59 2016,15.0,5.0,1.004e-08,19.871,84.3265,11.3085,2016-12-20 16:59:00
14,1982-CS2-L3A_6,Dec 20 17:03 2016,15.0,5.0,1.004e-08,20.6795,84.7765,11.297,2016-12-20 17:03:00
15,1982-CS2-L3A_7,Dec 20 17:06 2016,15.0,5.0,1.004e-08,19.769,85.193,11.309,2016-12-20 17:06:00
16,1982-CS2-L3A_8,Dec 20 17:10 2016,15.0,5.0,1.004e-08,19.6255,85.1475,11.31,2016-12-20 17:10:00
17,1982-CS2-L3A_9,Dec 20 17:13 2016,15.0,5.0,1.004e-08,19.642,85.3485,11.311,2016-12-20 17:13:00
18,1982-CS2-L5B_1,Dec 20 17:17 2016,15.0,5.0,1.004e-08,25.106,89.9915,11.252,2016-12-20 17:17:00
19,1982-CS2-L5B_2,Dec 20 17:20 2016,15.0,5.0,1.004e-08,24.804,90.4215,11.2585,2016-12-20 17:20:00
20,1982-CS2-L5B_3,Dec 20 17:24 2016,15.0,5.0,1.004e-08,25.6965,90.9585,11.2475,2016-12-20 17:24:00
21,1982-CS2-L5B_4,Dec 20 17:27 2016,15.0,5.0,1.004e-08,24.669,91.6265,11.2615,2016-12-20 17:27:00
22,1982-CS2-L5B_5,Dec 20 17:31 2016,15.0,5.0,1.005e-08,24.8295,92.1605,11.2615,2016-12-20 17:31:00
23,1982-CS2-L5B_6,Dec 20 17:34 2016,15.0,5.0,1.004e-08,23.788,92.1365,11.277,2016-12-20 17:34:00
24,1982-CS2-L5B_7,Dec 20 17:37 2016,15.0,5.0,1.005e-08,25.576,91.7775,11.2515,2016-12-20 17:37:00
