No.,Na2O,SO3,FeO,SiO2,Cl,F,K2O,MnO,Al2O3,P2O5,MgO,CaO,TiO2,Total,Comment,material,is_std,sample,spot
1,2.8,0.0408,13.6,51.16,0.0237,0.0126,0.8138,0.1786,12.3,0.3881,5.13,9.27,4.08,99.7976,VGA99_,VGA99,True,,
2,2.7,0.0232,13.46,51.24,0.03,0.0791,0.8142,0.2468,12.48,0.3543,5.2,9.37,4.06,100.0575,VGA99_,VGA99,True,,
3,2.69,0.3666,11.76,51.66,0.0331,0.0693,0.1994,0.2396,14.03,0.1729,7.04,11.38,1.82,101.4608,VG-2_,VG2,True,,
4,2.6,0.3591,12.1,51.6,0.0346,0.0702,0.1893,0.2448,14.04,0.1601,7.17,11.31,1.85,101.728,VG-2_,VG2,True,,
5,6.21,0.0261,7.86,70.77,0.3989,0.4579,4.29,0.1916,8.83,0.0161,0.0224,0.396,0.3392,99.8083,KE3_,KE3,True,,
6,2.36,0.0348,8.0,72.72,0.3848,0.5147,4.16,0.2905,8.85,0.0147,0.0417,0.4585,0.3403,98.1701,KE3_,KE3,True,,
7,5.35,1.392,0.1958,51.04,1.45,0.0068,0.8437,0.0059,25.88,0.0203,0.0,13.88,0.0025,100.0669,Scap,Scapolite,True,,
8,5.19,1.3602,0.0852,50.95,1.42,0.0,0.8733,0.035,25.46,0.0014,0.002,14.02,0.0129,99.41,Scap,Scapolite,True,,
9,2.65,0.0175,13.79,46.0,0.1143,0.1165,1.75,0.2421,14.9,0.6354,5.07,11.22,4.0,100.5058,1982-CS2-L3A_1,1982-CS2-L3A,False,1982-CS2-L3A,1.0
10,2.59,0.0165,13.75,45.97,0.1074,0.16,1.77,0.22,14.99,0.6266,5.08,11.12,3.9,100.3005,1982-CS2-L3A_2,1982-CS2-L3A,False,1982-CS2-L3A,2.0
11,2.9,0.0292,13.49,45.63,0.1246,0.1055,1.83,0.2252,15.01,0.6494,5.07,11.16,3.9,100.1238,1982-CS2-L3A_3,1982-CS2-L3A,False,1982-CS2-L3A,3.0
12,2.65,0.0435,13.63,46.2,0.1232,0.1241,1.58,0.22,14.93,0.5646,5.17,11.22,3.99,100.4453,1982-CS2-L3A_4,1982-CS2-L3A,False,1982-CS2-L3A,4.0
13,2.38,0.0543,13.98,45.95,0.125,0.1296,1.69,0.2635,15.06,0.7034,5.0,11.32,3.97,100.6257,1982-CS2-L3A_5,1982-CS2-L3A,False,1982-CS2-L3A,5.0
14,2.75,0.0293,13.16,46.19,0.1273,0.1892,1.8,0.152,15.05,0.7424,4.95,11.07,3.91,100.1202,1982-CS2-L3A_6,1982-CS2-L3A,False,1982-CS2-L3A,6.0
15,4.81,0.0272,12.66,46.24,0.1203,0.1179,1.78,0.163,15.07,0.7324,4.67,10.47,3.99,100.8507,1982-CS2-L3A_7,1982-CS2-L3A,False,1982-CS2-L3A,7.0
16,4.11,0.079,13.6,44.87,0.1267,0.1397,1.71,0.2202,14.79,0.6947,4.9,10.83,3.94,100.0103,1982-CS2-L3A_8,1982-CS2-L3A,False,1982-CS2-L3A,8.0
17,4.44,0.0398,13.04,45.4,0.1237,0.119,1.67,0.2171,14.99,0.6864,4.81,10.6,3.87,100.0059,1982-CS2-L3A_9,1982-CS2-L3A,False,1982-CS2-L3A,9.0
18,5.63,0.0222,13.01,46.14,0.1262,0.2576,2.19,0.2578,14.88,0.6965,4.3,9.39,3.84,100.7402,1982-CS2-L5B_1,1982-CS2-L5B,False,1982-CS2-L5B,1.0
19,4.33,0.0457,14.12,46.12,0.1455,0.1595,1.85,0.2145,14.8,0.7736,4.36,9.94,3.92,100.7787,1982-CS2-L5B_2,1982-CS2-L5B,False,1982-CS2-L5B,2.0
20,4.52,0.0382,13.69,45.95,0.1293,0.1878,2.2,0.216,14.8,0.771,4.56,9.82,3.78,100.6622,1982-CS2-L5B_3,1982-CS2-L5B,False,1982-CS2-L5B,3.0
21,5.18,0.0415,15.38,46.05,0.1619,0.1813,2.23,0.2796,14.47,0.7155,4.16,8.82,3.93,101.5998,1982-CS2-L5B_4,1982-CS2-L5B,False,1982-CS2-L5B,4.0
22,4.76,0.0527,14.4,45.66,0.1272,0.1519,1.94,0.2856,14.55,0.7415,4.61,9.86,3.83,100.9688,1982-CS2-L5B_5,1982-CS2-L5B,False,1982-CS2-L5B,5.0
23,5.09,0.0311,13.55,46.75,0.1367,0.1962,2.07,0.2347,15.36,0.7363,4.19,9.37,3.74,101.4549,1982-CS2-L5B_6,1982-CS2-L5B,False,1982-CS2-L5B,6.0
24,5.06,0.0252,12.34,45.98,0.1146,0.1854,2.06,0.2172,14.95,0.7327,4.54,10.34,3.87,100.415,1982-CS2-L5B_7,1982-CS2-L5B,False,1982-CS2-L5B,7.0
25,4.49,0.0322,13.83,45.86,0.1214,0.1563,1.99,0.3105,15.09,0.7657,4.61,10.05,3.74,101.0461,1982-CS2-L5B_8,1982-CS2-L5B,False,1982-CS2-L5B,8.0
26,4.71,0.0384,14.05,45.43,0.1196,0.2583,1.96,0.2305,14.48,0.7312,4.64,9.71,3.81,100.1679,1982-CS2-L5B_9,1982-CS2-L5B,False,1982-CS2-L5B,9.0
27,4.82,0.0817,13.52,44.93,0.0678,0.0834,2.13,0.242,15.48,1.0618,4.54,10.56,3.8,101.3166,UnknA-C21_1,UnknA-C21,False,UnknA-C21,1.0
28,4.82,0.1331,12.62,44.55,0.1357,0.1609,2.2,0.2343,15.35,1.0045,4.41,10.52,3.8,99.9386,UnknA-C21_2,UnknA-C21,False,UnknA-C21,2.0
29,4.85,0.1102,12.23,44.92,0.1207,0.113,2.17,0.2203,15.36,0.9747,4.18,10.48,3.7,99.4289,UnknA-C21_3,UnknA-C21,False,UnknA-C21,3.0
30,4.9,0.1004,12.58,44.78,0.1388,0.1916,2.24,0.2464,14.59,0.9736,4.52,10.52,3.79,99.5708,UnknA-C21_4,UnknA-C21,False,UnknA-C21,4.0
31,4.75,0.1001,12.22,44.85,0.1411,0.1347,2.14,0.2396,14.77,1.0415,4.39,10.45,3.8,99.0271,UnknA-C21_5,UnknA-C21,False,UnknA-C21,5.0
32,4.77,2.1971,13.77,44.06,0.1293,0.2099,2.14,0.2167,15.32,0.9462,4.44,10.2,3.78,102.1791,UnknA-C21_6,UnknA-C21,False,UnknA-C21,6.0
33,4.9,0.1283,12.74,43.89,0.1269,0.2127,2.22,0.2341,15.36,0.97,4.5,10.41,3.79,99.4821,UnknA-C21_7,UnknA-C21,False,UnknA-C21,7.0
34,4.9,0.1267,12.82,44.87,0.1415,0.1362,2.21,0.2469,15.42,0.9765,4.44,10.46,3.77,100.5177,UnknA-C21_8,UnknA-C21,False,UnknA-C21,8.0
35,4.81,0.1339,11.97,45.25,0.1325,0.2803,2.17,0.2166,15.55,0.9683,4.29,10.48,3.76,100.0116,UnknA-C21_9,UnknA-C21,False,UnknA-C21,9.0
36,4.0,0.0293,12.08,45.73,0.0808,0.1543,1.28,0.1893,14.73,0.5434,5.64,11.86,3.6,99.9172,UnknA-C22-PS1-L2_1,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,1.0
37,4.03,0.0483,12.16,46.1,0.0768,0.1577,1.29,0.1937,14.62,0.5798,5.52,11.65,3.63,100.0563,UnknA-C22-PS1-L2_2,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,2.0
38,4.28,0.0317,12.21,45.35,0.0635,0.0924,1.32,0.2096,14.54,0.5247,5.55,11.72,3.52,99.4119,UnknA-C22-PS1-L2_3,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,3.0
39,4.01,0.0473,12.0,45.85,0.0755,0.1532,1.24,0.1612,14.87,0.5477,5.52,11.7,3.58,99.755,UnknA-C22-PS1-L2_4,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,4.0
40,4.07,0.063,11.8,46.72,0.0733,0.0831,1.21,0.1911,14.88,0.5063,5.62,11.79,3.51,100.5168,UnknA-C22-PS1-L2_5,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,5.0
41,4.11,0.0549,12.23,46.48,0.0716,0.1101,1.27,0.1563,14.69,0.5212,5.62,11.88,3.64,100.8341,UnknA-C22-PS1-L2_6,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,6.0
42,3.98,0.0449,12.27,46.43,0.095,0.1287,1.23,0.2401,14.88,0.5309,5.55,11.78,3.55,100.7095,UnknA-C22-PS1-L2_7,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,7.0
43,3.91,0.0379,12.31,46.89,0.0816,0.1498,1.1918,0.1979,14.68,0.5189,5.52,11.98,3.6,101.0678,UnknA-C22-PS1-L2_8,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,8.0
44,4.08,0.0294,12.06,46.55,0.0868,0.1266,1.25,0.1726,14.69,0.5556,5.67,11.77,3.56,100.6009,UnknA-C22-PS1-L2_9,UnknA-C22-PS1-L2,False,UnknA-C22-PS1-L2,9.0
45,3.97,0.0428,12.91,47.37,0.0741,0.0627,1.0877,0.2627,15.26,0.5233,5.43,11.01,3.48,101.4833,UnknA-C22-PS1-L3_1,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,1.0
46,3.4,0.0567,12.1,47.41,0.0653,0.1217,0.9193,0.1245,15.24,0.5405,5.59,12.21,3.58,101.3579,UnknA-C22-PS1-L3_2,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,2.0
47,3.49,0.0371,11.67,47.42,0.0761,0.0686,0.3311,0.2111,15.53,0.4557,5.62,12.71,3.49,101.1096,UnknA-C22-PS1-L3_3,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,3.0
48,3.25,0.0681,11.98,47.27,0.0881,0.1237,1.1984,0.2048,15.24,0.494,5.78,12.43,3.5,101.627,UnknA-C22-PS1-L3_4,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,4.0
49,0.4033,0.032,7.38,48.11,0.0022,0.0528,0.0011,0.1541,6.4,0.0021,13.83,23.28,2.34,101.9875,UnknA-C22-PS1-L3_5,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,5.0
50,3.02,0.0229,11.96,47.88,0.0692,0.0759,1.1657,0.2003,15.43,0.5261,5.74,12.69,3.5,102.2801,UnknA-C22-PS1-L3_6,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,6.0
51,3.7,0.0542,12.03,47.55,0.0802,0.09,0.9078,0.1917,15.29,0.4851,5.56,11.86,3.5,101.299,UnknA-C22-PS1-L3_7,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,7.0
52,3.72,0.0387,11.34,48.06,0.0657,0.1074,0.7333,0.147,15.46,0.5012,5.64,12.28,3.56,101.6532,UnknA-C22-PS1-L3_8,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,8.0
53,3.87,0.0599,10.66,48.1,0.0774,0.0395,1.29,0.1643,15.67,0.5988,5.5,11.63,3.63,101.2898,UnknA-C22-PS1-L3_9,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,9.0
54,2.8,0.0467,13.65,51.5,0.0201,0.0459,0.8168,0.2075,12.46,0.4254,5.25,9.38,4.08,100.6824,VGA99_,VGA99,True,,
55,2.56,0.0158,13.44,51.4,0.0181,0.0749,0.815,0.1629,12.51,0.3845,5.18,9.37,4.08,100.0112,VGA99_,VGA99,True,,
56,2.78,0.3621,11.82,51.2,0.0345,0.0147,0.1945,0.1959,13.96,0.1713,7.1,11.28,1.86,100.973,VG-2_,VG2,True,,
57,2.79,0.3713,11.69,51.45,0.0303,0.0249,0.1907,0.258,14.07,0.2114,7.21,11.36,1.87,101.5266,VG-2_,VG2,True,,
58,6.3,0.0253,7.44,71.15,0.3925,0.5142,4.29,0.205,8.82,0.0175,0.0374,0.434,0.3297,99.9557,KE3_,KE3,True,,
59,6.29,0.0334,7.67,71.16,0.3861,0.3925,4.25,0.1891,8.81,0.0201,0.0168,0.4,0.3305,99.9486,KE3_,KE3,True,,
60,5.13,1.397,0.117,50.97,1.44,0.0,0.8858,0.0167,25.81,0.0,0.023,14.11,0.0,99.8996,Scap,Scapolite,True,,
61,5.36,1.3286,0.1918,50.92,1.45,0.0174,0.8605,0.0401,25.83,0.0057,0.0139,14.09,0.0024,100.1104,Scap,Scapolite,True,,
62,4.94,0.019,9.91,49.92,0.067,0.2399,2.36,0.2147,17.8,1.2409,3.04,8.31,3.0,101.0614,UnknA-BatokeCS1-3_1,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,1.0
63,6.89,0.016,10.86,44.65,0.0806,0.2702,2.42,0.1521,16.09,1.2284,5.59,10.07,3.23,101.5472,UnknA-BatokeCS1-3_2,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,2.0
64,5.06,0.0352,10.74,49.18,0.0177,0.2739,2.44,0.1363,17.77,1.2903,3.1,8.23,2.99,101.2634,UnknA-BatokeCS1-3_3,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,3.0
65,8.61,0.0445,9.48,45.59,0.0302,0.1079,1.32,0.2434,16.62,1.1394,5.16,10.82,3.31,102.4753,UnknA-BatokeCS1-3_4,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,4.0
66,5.14,0.0,10.12,48.43,0.0668,0.1663,1.99,0.1646,17.65,1.2816,3.42,8.74,3.18,100.3492,UnknA-BatokeCS1-3_5,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,5.0
67,5.3,0.0039,10.76,47.99,0.2227,0.2817,2.69,0.171,16.94,1.2234,4.1,8.0,3.24,100.9226,UnknA-BatokeCS1-3_6,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,6.0
68,5.76,0.0149,9.93,48.45,0.0413,0.2692,2.37,0.1869,17.85,1.1543,3.61,8.71,3.02,101.3665,UnknA-BatokeCS1-3_7,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,7.0
69,5.15,0.0236,10.04,49.44,0.0172,0.2861,2.49,0.151,18.22,1.3786,3.35,8.16,3.1,101.8064,UnknA-BatokeCS1-3_8,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,8.0
