,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
001N612,2.41,13.32,7263.14,4.09,692.82,16657.74,4.24,9.43,2811.47,1.98,3.14,2.37,2.65,17.65,3.6,2.0,4.49,2.35,2.07,2.02,7.75,3.16,3.32,2.31,1.95,2.53,2.78,3.17,3.25,3.26,3.13,4.48,4.4,5.43,2.94,4.97,4.54,4.12,2.12,3.9,4.74
002N612,2.38,13.46,7196.39,3.9,680.72,16609.5,3.89,9.34,2820.54,2.02,3.1,2.4,2.6,17.04,3.6,2.03,4.55,2.36,2.07,2.04,7.77,3.15,3.32,2.33,1.98,2.44,2.88,3.1,3.34,3.28,3.22,4.37,4.3,5.34,2.89,5.01,4.56,4.06,2.14,3.86,4.78
003N612,2.33,13.43,7256.26,4.18,700.78,16815.55,4.17,10.46,2817.23,1.96,3.03,2.34,2.68,17.36,3.54,2.01,4.56,2.39,2.05,2.06,7.64,3.22,3.35,2.35,1.95,2.42,2.86,3.13,3.4,3.26,3.15,4.38,4.36,5.4,2.84,4.87,4.53,4.11,2.13,3.78,4.66
004KL2,0.44,8.34,1417.13,3089.87,4652.03,13789.24,107.8,257.96,2643.08,1.51,827.54,21.19,100.64,6692.62,0.066,0.65,20.36,1.36,7.96,0.83,0.028,10.18,1.27,2.13,0.24,1.5,0.45,0.18,0.54,0.074,0.45,0.11,0.27,0.042,0.17,0.036,0.44,0.098,0.15,0.093,0.09
005KL2,0.44,1.9,1429.28,3202.56,4758.75,14118.76,101.29,246.7,2613.62,1.54,811.74,21.04,99.3,6762.95,0.051,0.67,20.43,1.39,7.39,0.79,0.026,10.22,1.29,2.01,0.25,1.49,0.46,0.17,0.51,0.077,0.45,0.11,0.27,0.047,0.17,0.039,0.44,0.097,0.14,0.098,0.079
006KL2,0.44,1.61,1504.42,3293.76,4935.38,14636.33,105.39,251.05,2622.84,1.53,812.11,21.3,101.78,6947.67,0.077,0.69,20.98,1.4,7.48,0.82,0.025,10.28,1.22,2.06,0.25,1.5,0.46,0.18,0.55,0.079,0.43,0.097,0.28,0.049,0.16,0.04,0.46,0.1,0.15,0.11,0.082
007BM90,0.19,1.31,73.79,15213.43,876.95,15140.06,2.63,10.97,604.49,0.85,21.05,3.91,65.99,4677.75,0.048,0.036,0.056,0.14,1.08,0.01,0.18,0.052,0.028,0.038,0.0088,0.065,0.026,0.0094,0.047,0.0071,0.045,0.012,0.033,0.0081,0.04,0.0096,0.08,0.0019,0.043,0.01,0.015
008BM90,0.16,1.38,73.47,15207.65,844.39,15092.29,2.58,10.18,593.94,0.84,19.89,3.9,66.58,4714.91,0.04,0.039,0.053,0.15,1.05,0.0094,0.19,0.049,0.024,0.039,0.0082,0.06,0.028,0.0098,0.043,0.0068,0.047,0.013,0.037,0.0086,0.039,0.0094,0.074,0.0028,0.041,0.0094,0.013
009GOR132,0.72,9.26,556.78,10247.32,3952.55,13304.49,13.28,16.26,2046.94,1.71,95.95,15.88,97.31,7084.17,0.059,0.19,0.94,0.74,0.52,0.017,1.7,0.086,0.016,0.033,0.01,0.097,0.063,0.03,0.12,0.022,0.19,0.057,0.18,0.033,0.12,0.032,0.053,0.0065,1.4,0.0032,0.011
010GOR132,0.73,9.0,528.26,9935.51,3886.81,12916.98,12.54,14.8,2032.4,1.68,93.63,15.04,93.78,6833.2,0.048,0.17,0.89,0.74,0.53,0.0072,1.66,0.07,0.014,0.03,0.0088,0.081,0.061,0.031,0.13,0.025,0.18,0.058,0.17,0.032,0.13,0.031,0.048,0.0052,1.34,0.0025,0.012
011GOR128,0.82,11.62,386.69,10688.4,3504.94,13108.72,9.84,19.22,1548.85,1.48,90.65,12.57,112.95,6960.19,0.055,0.043,1.72,0.65,0.51,0.017,0.045,0.094,0.017,0.037,0.01,0.09,0.059,0.032,0.14,0.023,0.17,0.048,0.16,0.03,0.11,0.026,0.052,0.0049,0.032,0.0058,0.0055
012GOR128,0.91,13.47,448.64,14789.91,3825.57,15223.91,10.78,20.03,1562.42,1.57,95.4,13.62,118.52,7086.78,0.083,0.056,1.9,0.66,0.54,0.019,0.052,0.12,0.018,0.041,0.01,0.095,0.067,0.031,0.13,0.025,0.18,0.051,0.15,0.029,0.12,0.028,0.055,0.0051,0.033,0.005,0.004
013BCR2G,0.63,2.38,1905.94,1507.64,5000.53,14647.26,140.99,882.16,1747.27,1.68,730.33,27.65,114.56,7220.44,0.17,3.44,19.79,2.03,9.3,0.65,0.25,56.83,2.38,3.33,0.35,1.97,0.5,0.18,0.61,0.088,0.57,0.15,0.41,0.075,0.26,0.065,0.6,0.083,0.68,0.58,0.22
014BCR2G,0.62,3.28,1932.58,1488.48,4956.76,15036.38,152.79,900.48,1753.78,1.72,734.82,27.93,113.23,7286.02,0.19,3.43,19.73,2.01,9.27,0.68,0.23,56.0,2.39,3.31,0.35,1.99,0.51,0.18,0.61,0.09,0.55,0.15,0.41,0.076,0.27,0.07,0.59,0.089,0.72,0.59,0.24
015MC22-1-16,0.55,1.06,1777.21,17382.01,4875.89,18088.96,287.76,629.3,3528.8,2.07,1087.71,21.92,198.26,12502.25,0.27,2.34,54.09,1.3,15.59,5.27,0.083,34.65,6.32,8.58,0.85,4.32,0.9,0.31,0.75,0.098,0.49,0.12,0.33,0.051,0.2,0.053,0.88,0.53,0.85,0.74,0.28
016MC22-1-20,0.37,1.16,1673.03,2116.75,5014.51,10538.71,195.38,516.2,3471.17,1.89,1380.25,26.21,88.58,5441.27,0.14,1.7,44.82,1.78,15.95,3.48,0.058,26.51,4.32,5.89,0.63,3.75,0.9,0.3,0.74,0.1,0.62,0.14,0.36,0.055,0.21,0.057,0.94,0.38,0.43,0.46,0.19
017MC22-1-21,0.52,0.86,1340.61,8076.58,4280.59,12163.31,135.41,374.29,3822.85,1.9,1359.23,20.72,147.64,9402.88,0.16,1.0,237.11,1.57,14.94,3.32,0.041,32.22,3.89,5.41,0.64,3.9,0.97,0.27,0.72,0.098,0.64,0.14,0.34,0.06,0.26,0.069,0.79,0.32,0.68,0.49,0.19
