,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
001N612,12.78,9.37,12.11,0.0004,0.787,1.72,0.0153,0.0,6.3,4.84,0.072,0.409,0.01155,0.00063,3.79,7.92,6.53,18.98,7.4,103.18,133.98,11.13,93.7,37.89,273.07,52.73,159.05,416.86,125.48,693.48,99.26,486.16,167.57,1152.2,178.11,1078.8,219.99,1597.4,9.36,984.89,2881.99
002N612,12.58,9.42,12.0,0.00038,0.773,1.71,0.0138,0.0,6.3,4.91,0.0697,0.414,0.01133,0.0006,3.79,8.02,6.61,19.04,7.41,104.14,134.64,11.08,93.59,38.34,278.11,50.87,164.38,407.96,129.18,699.59,102.42,474.37,163.97,1134.81,175.19,1088.78,221.14,1577.15,9.46,976.05,2913.84
003N612,12.33,9.34,12.11,0.0004,0.796,1.74,0.0149,0.0,6.3,4.79,0.0682,0.404,0.0117,0.00061,3.72,7.95,6.62,19.3,7.35,105.21,132.63,11.33,94.42,38.69,273.6,50.52,163.5,412.4,131.52,695.63,100.06,475.02,166.23,1148.09,171.86,1058.73,219.86,1594.99,9.42,956.13,2840.59
004KL2,2.17,5.76,2.36,0.303,5.27,1.42,0.425,4.91,5.77,3.61,23.8,3.68,0.443,0.295,0.058,2.48,29.58,10.85,28.68,41.12,0.44,35.88,35.38,34.72,32.22,30.04,23.76,21.65,19.42,14.54,13.52,11.02,9.7,8.09,8.47,6.86,20.81,35.92,0.564,21.49,52.12
005KL2,2.17,1.3,2.38,0.314,5.4,1.457,0.4,4.71,5.77,3.7,23.4,3.66,0.438,0.298,0.037,2.58,29.73,11.1,26.7,39.24,0.393,36.08,35.97,32.9,33.81,30.25,24.65,21.07,18.58,15.34,13.63,11.29,10.01,9.26,8.38,7.56,20.63,36.01,0.57,22.99,45.74
006KL2,2.18,1.09,2.5,0.323,5.59,1.509,0.416,4.78,5.77,3.69,23.38,3.7,0.448,0.306,0.069,2.65,30.49,11.17,27.01,40.87,0.393,36.26,33.98,33.61,33.82,30.36,24.17,22.39,20.06,15.63,13.05,10.09,10.31,9.57,8.21,7.74,21.64,37.17,0.577,24.78,47.17
007BM90,0.84,0.88,0.12,1.45,0.967,1.511,0.008,0.0,1.112,1.914,0.561,0.659,0.284,0.202,0.036,0.076,0.0562,0.983,3.61,0.058,3.03,0.136,0.586,0.432,0.572,0.579,0.46,0.5,0.92,0.76,0.94,0.99,0.87,1.19,1.21,1.47,3.3,0.175,0.13,1.32,6.95
008BM90,0.718,0.93,0.12,1.46,0.933,1.51,0.0077,0.0,1.112,1.906,0.533,0.658,0.287,0.204,0.0,0.088,0.0546,1.033,3.52,0.0,3.23,0.129,0.483,0.463,0.536,0.547,0.65,0.6,0.91,0.78,1.02,1.07,1.04,1.31,1.28,1.44,3.04,0.0,0.131,1.28,5.94
009GOR132,3.69,6.16,0.921,0.999,4.45,1.367,0.0515,0.222,4.47,4.12,2.73,2.74,0.426,0.311,0.049,0.669,1.33,5.86,1.729,0.185,29.43,0.255,0.253,0.359,0.645,1.04,2.1,3.01,3.74,3.7,5.45,5.74,6.42,6.44,5.74,6.08,1.95,1.39,6.09,0.178,4.17
010GOR132,3.75,5.94,0.872,0.967,4.37,1.326,0.0485,0.193,4.47,4.04,2.67,2.6,0.41,0.299,0.037,0.624,1.269,5.83,1.776,0.07,28.81,0.2,0.217,0.325,0.618,0.86,2.21,3.19,4.14,4.55,5.33,5.93,6.23,6.23,6.21,6.0,1.81,1.0,5.86,0.0,5.4
