,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
001N612,30.66,17.8,87723.91,56.61,10153.24,274975.25,35.11,21.4,85048.7,41.82,47.08,34.76,33.94,174.63,10.88,27.33,77.66,42.7,40.98,38.69,37.38,37.96,34.39,36.26,37.41,37.49,36.74,36.27,38.4,40.22,37.82,41.37,41.73,41.02,44.17,41.1,39.38,41.53,34.17,41.86,35.16
002N612,30.18,17.9,86950.13,53.83,9977.2,274332.56,31.7,21.2,85048.7,42.45,45.56,35.21,33.32,165.55,10.89,27.68,78.62,42.83,41.06,39.05,37.56,37.79,34.35,36.69,38.1,36.17,37.97,35.49,39.53,40.58,39.02,40.37,40.83,40.4,43.45,41.48,39.58,41.01,34.53,41.48,35.55
003N612,29.6,17.75,87703.38,57.83,10274.38,277987.41,34.38,21.54,85048.7,41.36,44.58,34.32,34.39,170.15,10.69,27.43,78.83,43.42,40.74,39.45,37.0,38.64,34.65,37.02,37.48,35.92,37.77,35.88,40.25,40.35,38.12,40.42,41.39,40.87,42.62,40.34,39.35,41.47,34.37,40.64,34.66
004KL2,5.21,10.95,17091.78,43329.79,68000.88,227196.58,977.73,4196.2,77901.7,31.16,15566.6,312.43,1303.11,81991.84,0.165,8.56,351.98,24.42,158.89,15.42,0.122,122.36,12.99,33.23,4.41,21.36,5.49,1.88,5.94,0.844,5.15,0.94,2.41,0.288,2.1,0.261,3.72,0.934,2.06,0.913,0.636
005KL2,5.22,2.48,17245.47,44940.31,69620.05,233055.86,919.53,4019.08,77901.7,31.98,15304.21,310.73,1286.29,82919.68,0.107,8.89,353.77,24.97,147.91,14.71,0.11,123.03,13.2,31.48,4.63,21.51,5.69,1.83,5.69,0.889,5.19,0.96,2.49,0.33,2.08,0.288,3.69,0.936,2.08,0.977,0.558
006KL2,5.23,2.07,18130.38,46158.29,72111.45,241409.72,956.5,4085.24,77901.7,31.86,15292.14,314.17,1316.63,85107.55,0.199,9.14,362.8,25.12,149.61,15.33,0.11,123.64,12.47,32.16,4.63,21.58,5.58,1.95,6.14,0.907,4.97,0.859,2.57,0.341,2.04,0.295,3.87,0.97,2.11,1.05,0.575
007BM90,2.02,1.67,872.46,208008.56,12476.81,241693.27,18.41,24.43,15008.72,16.53,367.15,56.0,835.55,56222.92,0.104,0.262,0.669,2.21,20.02,0.022,0.84,0.463,0.215,0.414,0.0784,0.412,0.107,0.0436,0.282,0.0438,0.359,0.084,0.216,0.0425,0.301,0.0561,0.59,0.0046,0.475,0.056,0.085
008BM90,1.72,1.76,868.99,208148.02,12030.06,241599.27,17.81,25.01,15008.72,16.46,348.62,55.91,843.48,56710.61,0.074,0.304,0.65,2.32,19.52,0.0218,0.9,0.44,0.177,0.443,0.0734,0.389,0.151,0.0526,0.28,0.0453,0.387,0.091,0.258,0.0465,0.318,0.0548,0.543,0.0062,0.479,0.0545,0.072
009GOR132,8.87,11.71,6672.55,142794.02,57438.87,218643.95,118.34,189.71,60392.23,35.59,1785.51,233.08,1251.49,86376.49,0.141,2.31,15.82,13.19,9.58,0.069,8.21,0.868,0.093,0.344,0.088,0.743,0.486,0.262,1.14,0.215,2.08,0.489,1.6,0.229,1.42,0.232,0.348,0.0362,22.24,0.0075,0.051
010GOR132,8.99,11.28,6319.15,138234.5,56407.36,212192.69,111.61,165.22,60392.23,34.88,1743.55,220.64,1203.94,83189.79,0.107,2.15,15.1,13.12,9.84,0.0263,8.04,0.683,0.08,0.311,0.0847,0.609,0.511,0.278,1.27,0.264,2.03,0.504,1.55,0.222,1.54,0.229,0.323,0.0259,21.39,0.0051,0.066
011GOR128,10.12,14.42,4600.63,147788.48,50541.61,213893.53,86.35,246.9,44597.34,30.37,1671.98,183.08,1441.6,84292.74,0.126,0.338,29.01,11.38,9.33,0.115,0.208,0.956,0.104,0.402,0.094,0.659,0.444,0.279,1.34,0.224,1.86,0.407,1.38,0.198,1.21,0.181,0.345,0.0178,0.308,0.0152,0.0109
012GOR128,11.13,16.56,5316.96,203682.8,54948.23,247541.09,94.16,243.42,44597.34,32.09,1751.93,197.64,1506.44,85512.35,0.212,0.48,31.9,11.45,9.79,0.112,0.241,1.2,0.106,0.439,0.082,0.696,0.509,0.245,1.11,0.243,1.9,0.431,1.33,0.188,1.38,0.202,0.359,0.0176,0.307,0.0108,0.0073
013BCR2G,7.61,2.89,22549.58,20741.1,71778.97,238369.95,1266.0,14150.35,50900.0,34.51,13547.25,401.47,1453.95,87000.51,0.48,46.32,336.82,36.28,183.53,12.04,1.18,672.95,23.96,51.39,6.45,28.41,6.08,1.91,6.75,1.008,6.58,1.36,3.72,0.535,3.53,0.498,5.0,0.788,10.52,6.08,1.6
