,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
001N612,21547,9551,84285312,34321,7280178,8864822,8039,0,118422,45999,3302,39162,47692,5001,17363,33748,102749,58879,30842,55156,71396,46938,59108,61848,75761,12817,11115,36493,11235,78211,17851,77634,25882,77602,18030,72612,20325,78698,28507,50555,51218
002N612,22813,10260,89786720,35070,7688313,9511977,7807,0,127323,50164,3436,42656,50315,5097,18660,36752,111819,63533,33225,59863,77219,50249,63421,67259,82944,13297,12349,38400,12430,84831,19805,81437,27236,82145,19060,78791,21973,83532,30959,53883,55701
003N612,21570,9746,87245664,36293,7626766,9292085,8165,0,122704,47084,3239,40071,50011,5049,17630,35105,108044,62089,31771,58300,73380,49512,61607,65379,78627,12726,11835,37411,12191,81292,18647,78581,26615,80061,18013,73836,21059,81404,29679,50883,52354
004KL2,3252,5110,14543394,23255474,43174468,6500545,198809,3477689,96173,30331,967900,312107,1620759,2082019,233,9378,412717,29888,106021,19500,206,134158,19736,50190,7922,6476,1471,1680,1539,1454,2155,1559,1328,482,759,409,1705,1568,1519,978,822
005KL2,3060,1079,13784051,22653896,41519032,6268167,175789,3130188,90374,29233,894140,291691,1502560,1978592,142,9158,389746,28737,92751,17491,175,126757,18838,44663,7811,6128,1434,1537,1383,1441,2042,1501,1288,519,705,423,1589,1477,1442,984,678
006KL2,2889,844,13647994,21910940,40499896,6119337,172368,2997829,85147,27426,841699,277868,1448267,1913321,247,8872,376520,27249,88389,17171,165,120017,16752,42974,7360,5795,1324,1538,1407,1383,1843,1264,1251,505,651,409,1571,1436,1376,999,659
007BM90,1299,790,765548,115081120,8167651,7146450,3870,0,19129,16585,23563,57759,1071165,1473878,150,296,809,2798,13790,28,1485,523,336,644,145,128,29,40,75,78,155,144,122,73,112,90,279,7,361,61,113
008BM90,1082,804,742517,112124856,7668322,6961340,3649,0,18635,16079,21794,56172,1052817,1448224,103,335,765,2865,13098,7,1543,485,269,672,132,118,40,47,72,78,163,151,143,78,115,86,250,4,354,58,94
009GOR132,5005,4776,5119057,69054328,32871700,5660447,21791,142063,67351,31200,100251,210339,1402315,1981232,177,2287,16747,14613,5773,79,12659,859,126,468,143,203,117,210,267,334,785,734,796,346,463,327,144,54,14792,7,59
010GOR132,5250,4723,5008656,69056712,33349788,5679592,21251,127875,69610,31586,101172,205794,1393538,1972130,139,2204,16514,15033,6130,31,12820,699,112,437,141,172,127,231,305,424,793,782,798,346,518,334,138,40,14691,1,79
