,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
001N612,21587,9857,84306304,34339,7285082,9461912,17897,6210715,119331,46745,3308,39202,52772,10414,17663,33818,102752,58891,30852,55171,71424,46950,59111,61848,75772,12817,11117,36495,11241,78211,17855,77640,25885,77602,18031,72613,20325,78701,28521,50558,51218
002N612,22871,10522,89807584,35125,7693197,10098943,17742,6187330,128351,50981,3456,42738,55461,10485,18988,36835,111819,63543,33228,59880,77250,50256,63421,67263,82947,13297,12352,38403,12430,84831,19805,81444,27239,82152,19062,78792,21975,83534,30974,53886,55704
003N612,21619,10091,87266336,36364,7632052,9892616,18181,6307196,123549,47884,3259,40148,55031,10456,17982,35183,108044,62108,31775,58306,73400,49521,61611,65382,78632,12732,11840,37417,12198,81294,18648,78588,26615,80062,18019,73836,21064,81405,29701,50883,52357
004KL2,3303,5394,14563872,23255526,43179600,7105645,208761,9946650,97057,31160,967900,312203,1626289,2087395,510,9449,412717,29904,106025,19507,233,134171,19736,50190,7929,6480,1473,1684,1542,1460,2159,1560,1332,485,766,414,1709,1573,1530,980,830
005KL2,3105,1369,13804555,22653946,41524576,6876377,184314,9611114,91284,29943,894153,291775,1507845,1983993,458,9242,389746,28753,92757,17514,213,126773,18842,44663,7817,6132,1438,1540,1391,1445,2045,1511,1288,522,706,431,1593,1479,1445,987,683
006KL2,2944,1116,13668166,21910994,40505680,6721667,181322,9476782,86044,28209,841720,277968,1453033,1918391,547,8914,376530,27255,88389,17188,186,120031,16752,42978,7360,5795,1326,1547,1407,1395,1850,1275,1251,506,652,412,1575,1440,1391,1001,668
007BM90,1344,1084,785600,115081152,8172877,7747261,12389,6358363,20252,17424,23589,57853,1076178,1478975,476,360,815,2821,13794,44,1509,536,336,647,150,128,32,43,80,82,155,146,127,75,117,90,284,7,377,68,119
008BM90,1146,1081,763435,112124904,7673477,7557423,12484,6359336,19680,16915,21813,56259,1057714,1452896,425,416,772,2874,13102,30,1567,495,269,672,137,118,40,48,74,80,166,158,151,81,118,89,256,10,362,60,97
009GOR132,5061,5020,5138814,69054432,32876758,6257570,30593,6506486,68157,31856,100289,210436,1407359,1986246,456,2344,16747,14632,5779,107,12681,865,126,468,157,209,120,210,271,337,789,740,802,346,467,329,153,54,14811,7,65
010GOR132,5278,4983,5029414,69056792,33355082,6275842,30517,6531081,70710,32377,101184,205910,1398251,1977200,411,2282,16514,15049,6137,31,12847,717,115,437,143,175,127,234,308,427,796,784,803,351,523,334,140,42,14706,3,84
011GOR128,5596,5936,3445525,69354296,28077742,5983564,24301,6546620,49269,26513,91203,160576,1572894,1883237,414,397,29816,12274,5467,130,336,926,138,530,155,178,105,220,310,341,689,600,670,294,384,252,145,30,213,8,20
012GOR128,5487,5978,3547020,85126928,27188486,6146354,24271,6557946,43991,25071,85129,154471,1463867,1702792,495,486,29208,11016,5124,120,346,1032,127,516,127,165,108,182,227,331,623,562,576,252,390,248,133,27,186,8,9
013BCR2G,4559,1500,18116120,10486796,42965820,7069981,253865,17468352,60388,32265,796668,379654,1707894,2095449,894,48187,373263,42199,115932,14448,1932,698294,34190,73191,10950,8164,1541,1615,1652,1648,2606,2139,1947,846,1207,742,2180,1252,7332,6182,1968
014BCR2G,4233,1866,17489956,9857119,40556664,6929802,261854,17144304,57854,31432,763928,365459,1607063,2014745,971,45879,354441,39874,110066,14369,1720,655462,32620,69135,10483,7845,1518,1570,1580,1615,2395,1939,1843,819,1148,766,2037,1268,7368,6024,2028
015MC22-1-16,2900,757,15557649,110819104,38353028,7899479,472164,13663180,98368,33568,1070789,274529,2711384,3339529,1100,29088,926370,22761,173424,106186,550,391691,83368,171103,23420,15523,2207,2300,1564,1350,1728,1314,1221,392,442,407,2814,7423,7776,7023,2178
016MC22-1-20,3325,1062,23696208,21920250,64164532,7549890,517781,16127575,171927,51707,2240149,536022,1964334,2356055,975,34755,1257720,53705,294651,115941,625,485622,91976,191963,28855,22731,3950,3944,2750,2637,3944,2781,2362,806,1056,843,5032,8527,6395,7083,2375
017MC22-1-21,2566,566,11692302,51263072,33533932,5489270,226491,10732473,105503,29932,1334727,258444,2009703,2504490,716,11604,4052845,27494,165274,65661,233,362933,50544,106554,17110,13673,2358,1966,1425,1300,2283,1558,1225,466,625,550,2466,4225,5927,4492,1366
