,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
001N612,0.0505,0.184,1.21,0.0563,0.781,191.77,3.47,21.4,173.26,0.14,0.281,0.0315,0.406,20.55,0.0614,0.0383,0.00744,0.0143,0.0227,0.0154,0.0109,0.0159,0.00573,0.0,0.00643,0.0,0.0163,0.00489,0.0337,0.0,0.0181,0.00525,0.0112,0.0,0.0121,0.00279,0.0,0.00368,0.0177,0.00577,0.0
002N612,0.0611,0.17,1.19,0.0973,0.774,188.59,3.45,21.2,182.76,0.146,0.515,0.0453,0.405,20.34,0.0637,0.0413,0.0,0.0131,0.0139,0.0163,0.0116,0.0119,0.0,0.00611,0.00364,0.0,0.0244,0.00732,0.0,0.0,0.0,0.00556,0.0119,0.00551,0.0128,0.00295,0.0101,0.00275,0.0188,0.0061,0.00506
003N612,0.0557,0.198,1.19,0.111,0.808,191.38,3.48,21.54,166.34,0.145,0.5,0.044,0.402,20.46,0.0664,0.0401,0.0,0.018,0.0134,0.01,0.00916,0.0142,0.0059,0.00594,0.00433,0.0418,0.029,0.0101,0.0346,0.0026,0.0107,0.00539,0.0,0.00268,0.0248,0.0,0.017,0.00267,0.0227,0.0,0.00491
004KL2,0.0672,0.211,1.39,0.11,0.931,224.43,4.05,25.33,198.8,0.173,0.0,0.0575,0.494,23.83,0.069,0.0449,0.0,0.0192,0.0157,0.0117,0.0127,0.0191,0.0,0.0,0.00584,0.0346,0.0196,0.00831,0.0286,0.00608,0.0177,0.00315,0.0135,0.00442,0.029,0.0058,0.0162,0.00541,0.0188,0.00489,0.00906
005KL2,0.0669,0.228,1.48,0.118,1.03,239.37,3.99,26.98,214.62,0.17,0.508,0.0569,0.514,25.42,0.0784,0.0519,0.0,0.0204,0.0236,0.0233,0.0161,0.0228,0.00735,0.0,0.00622,0.0368,0.036,0.00884,0.0482,0.0056,0.0188,0.00822,0.0,0.00471,0.0154,0.00796,0.0172,0.00332,0.0107,0.00736,0.00747
006KL2,0.0811,0.244,1.61,0.134,1.16,261.32,4.48,29.6,233.81,0.196,0.705,0.0682,0.536,27.03,0.084,0.04,0.0187,0.0146,0.0,0.0224,0.0129,0.0231,0.0,0.00839,0.0,0.0,0.0236,0.0159,0.0,0.00971,0.0302,0.00932,0.0,0.00378,0.0175,0.00571,0.0195,0.00533,0.0257,0.0059,0.0109
007BM90,0.0608,0.212,1.33,0.0928,0.912,216.4,3.62,24.43,217.01,0.169,0.653,0.0547,0.456,22.48,0.0727,0.0414,0.0123,0.0219,0.0152,0.0179,0.0115,0.0185,0.0,0.00673,0.0049,0.0,0.0268,0.00805,0.034,0.0051,0.0,0.00305,0.016,0.00303,0.0244,0.0,0.0192,0.0,0.0218,0.00947,0.00784
008BM90,0.0746,0.213,1.4,0.103,0.93,221.19,3.79,25.01,214.95,0.173,0.581,0.0542,0.463,22.09,0.0743,0.0475,0.0126,0.0147,0.0156,0.0218,0.0118,0.0165,0.0,0.0,0.00503,0.0,0.0,0.00584,0.0202,0.00302,0.0176,0.00627,0.0212,0.00441,0.0204,0.00471,0.0227,0.00621,0.0158,0.00486,0.00569
009GOR132,0.0763,0.22,1.49,0.173,1.01,242.52,4.14,27.37,206.87,0.168,0.886,0.0627,0.515,25.08,0.0757,0.0435,0.0,0.0225,0.0238,0.0266,0.0123,0.0145,0.0,0.0,0.0094,0.0524,0.0297,0.0,0.0377,0.00461,0.019,0.00676,0.0204,0.0,0.022,0.00359,0.03,0.0,0.0265,0.0,0.00867
010GOR132,0.0522,0.221,1.48,0.147,1.0,234.4,4.11,26.56,233.79,0.178,0.495,0.0662,0.482,24.4,0.0725,0.0496,0.0,0.0198,0.0231,0.0,0.0131,0.0243,0.0072,0.0,0.00303,0.0358,0.0,0.00862,0.0298,0.00446,0.0184,0.00327,0.0171,0.00564,0.0261,0.0,0.0119,0.00324,0.0234,0.00507,0.00727
