No.,element,peak_mm,net_cps,bg_minus,bg_plus,sd_pct,dl_ppm,flagged
1,Mg,107.54,65873.2,299.4,243.4,0.09,39.0,False
1,Mn,146.037,71.6,89.7,81.0,2.82,33.0,False
1,Fe,134.743,1378.6,0.0,20.3,0.61,99.0,False
1,Si,77.808,25670.1,181.2,107.2,0.14,59.0,False
1,Ca,107.775,212.1,269.3,234.4,1.64,14.0,False
1,Cr,159.16,12.3,63.4,61.1,17.37,48.0,False
1,Ni,115.404,54.2,36.4,32.5,2.64,64.0,False
1,Al,90.986,17.9,79.2,64.9,11.42,24.0,False
2,Mg,107.54,65862.0,289.9,242.5,0.09,39.0,False
2,Mn,146.037,68.7,92.8,80.0,2.94,33.0,False
2,Fe,134.743,1390.3,0.0,20.0,0.6,98.0,False
2,Si,77.808,25777.6,190.6,103.1,0.14,59.0,False
2,Ca,107.775,203.3,271.3,235.8,1.71,14.0,False
2,Cr,159.16,6.4,63.1,66.4,33.24,49.0,False
2,Ni,115.404,56.4,36.4,31.9,2.56,64.0,False
2,Al,90.986,18.7,79.8,64.8,10.94,24.0,False
3,Mg,107.54,65831.4,294.8,232.3,0.09,39.0,False
3,Mn,146.037,70.0,91.2,79.8,2.88,33.0,False
3,Fe,134.743,1373.4,0.0,22.6,0.61,104.0,False
3,Si,77.808,25699.5,192.2,104.8,0.14,59.0,False
3,Ca,107.775,216.0,272.7,231.8,1.62,14.0,False
3,Cr,159.16,7.1,66.4,63.8,30.17,49.0,False
3,Ni,115.404,51.3,35.8,32.1,2.75,64.0,False
3,Al,90.986,19.6,78.3,65.5,10.46,24.0,False
4,Mg,107.54,58573.5,293.9,225.6,0.09,38.0,False
4,Mn,146.037,118.2,95.2,86.9,1.9,34.0,False
4,Fe,134.743,2107.3,0.0,21.6,0.49,102.0,False
4,Si,77.808,25077.5,188.4,110.2,0.14,60.0,False
4,Ca,107.775,739.5,289.1,244.5,0.63,14.0,False
4,Cr,159.16,14.3,70.1,66.3,15.67,50.0,False
4,Ni,115.404,30.3,37.1,34.2,4.3,65.0,False
4,Al,90.986,20.3,83.4,63.3,10.24,24.0,False
5,Mg,107.54,58045.4,301.6,232.2,0.09,39.0,False
5,Mn,146.037,125.9,93.3,85.5,1.8,34.0,False
5,Fe,134.743,2164.0,0.0,21.4,0.48,101.0,False
5,Si,77.808,24965.4,180.8,100.0,0.14,58.0,False
5,Ca,107.775,738.7,282.2,242.9,0.62,14.0,False
5,Cr,159.16,9.8,70.1,72.5,22.9,51.0,False
5,Ni,115.404,29.2,38.1,34.0,4.45,66.0,False
5,Al,90.986,19.2,79.5,67.8,10.73,24.0,False
6,Mg,107.54,59335.6,285.8,228.3,0.09,38.0,False
6,Mn,146.037,107.8,97.7,86.7,2.06,35.0,False
6,Fe,134.743,2022.4,0.0,25.2,0.5,110.0,False
6,Si,77.808,25810.0,186.5,111.1,0.14,59.0,False
6,Ca,107.775,703.9,283.2,238.9,0.65,14.0,False
6,Cr,159.16,10.7,68.9,69.6,20.85,51.0,False
6,Ni,115.404,31.0,37.3,32.7,4.19,65.0,False
6,Al,90.986,14.1,83.0,67.3,14.59,24.0,False
7,Mg,107.54,57018.8,296.8,233.2,0.09,39.0,False
7,Mn,146.037,122.4,94.0,87.8,1.85,34.0,False
7,Fe,134.743,2229.4,0.0,25.5,0.48,111.0,False
7,Si,77.808,26057.1,194.3,110.9,0.14,60.0,False
7,Ca,107.775,715.4,292.7,247.7,0.64,14.0,False
7,Cr,159.16,7.2,69.1,61.9,29.95,49.0,False
