No.,Comment,date,kV,dia,curr_A,X,Y,Z,datetime
1,SC-Olivine,Mar  2 02:12 2017,15.0,0.0,9.833e-08,17.157,25.6005,11.6455,2017-03-02 02:12:00
2,SC-Olivine,Mar  2 02:15 2017,15.0,0.0,9.864e-08,17.1395,25.6175,11.6455,2017-03-02 02:15:00
3,SC-Olivine,Mar  2 02:18 2017,15.0,0.0,9.863e-08,17.1125,25.63,11.6455,2017-03-02 02:18:00
4,UnkA-C20-S2-1MI_1_1,Mar  2 02:22 2017,15.0,0.0,9.849e-08,77.1335,71.5765,11.3665,2017-03-02 02:22:00
5,UnkA-C20-S2-1MI_1_2,Mar  2 02:25 2017,15.0,0.0,9.852e-08,77.1195,71.6215,11.3665,2017-03-02 02:25:00
6,UnkA-C20-S2-1MI_1_3,Mar  2 02:29 2017,15.0,0.0,9.856e-08,77.1695,71.6055,11.3665,2017-03-02 02:29:00
7,UnkA-C20-S2-1MI_2_1,Mar  2 02:32 2017,15.0,0.0,9.858e-08,68.71,72.8815,11.3785,2017-03-02 02:32:00
8,UnkA-C20-S2-1MI_2_2,Mar  2 02:35 2017,15.0,0.0,9.86e-08,68.72,72.965,11.3785,2017-03-02 02:35:00
9,UnkA-C20-S2-1MI_2_3,Mar  2 02:39 2017,15.0,0.0,9.858e-08,68.804,72.94,11.382,2017-03-02 02:39:00
10,UnkA-C20-S2-1MI_3_1,Mar  2 02:42 2017,15.0,0.0,9.856e-08,72.7655,75.877,11.368,2017-03-02 02:42:00
11,UnkA-C20-S2-1MI_3_2,Mar  2 02:46 2017,15.0,0.0,9.857e-08,72.794,75.849,11.368,2017-03-02 02:46:00
12,UnkA-C20-S2-1MI_3_3,Mar  2 02:49 2017,15.0,0.0,9.863e-08,72.818,75.9045,11.368,2017-03-02 02:49:00
13,UnkA-C20-S2-1MI_4_1,Mar  2 02:52 2017,15.0,0.0,9.825e-08,67.291,76.88,11.3765,2017-03-02 02:52:00
14,UnkA-C20-S2-1MI_4_2,Mar  2 02:56 2017,15.0,0.0,9.843e-08,67.3285,76.8445,11.3765,2017-03-02 02:56:00
15,UnkA-C20-S2-1MI_4_3,Mar  2 02:59 2017,15.0,0.0,9.856e-08,67.3065,76.817,11.3765,2017-03-02 02:59:00
16,UnkA-C20-S2-1MI_5_1,Mar  2 03:02 2017,15.0,0.0,9.858e-08,74.9655,83.971,11.3565,2017-03-02 03:02:00
17,UnkA-C20-S2-1MI_5_2,Mar  2 03:06 2017,15.0,0.0,9.859e-08,75.008,83.9955,11.3565,2017-03-02 03:06:00
18,UnkA-C20-S2-1MI_5_3,Mar  2 03:09 2017,15.0,0.0,9.856e-08,75.001,83.96,11.3565,2017-03-02 03:09:00
19,UnkA-C20-S2-1MI_6_1,Mar  2 03:13 2017,15.0,0.0,9.863e-08,68.984,83.6875,11.3695,2017-03-02 03:13:00
20,UnkA-C20-S2-1MI_6_2,Mar  2 03:16 2017,15.0,0.0,9.86e-08,69.002,83.7145,11.3695,2017-03-02 03:16:00
21,UnkA-C20-S2-1MI_6_3,Mar  2 03:19 2017,15.0,0.0,9.865e-08,69.021,83.6925,11.3695,2017-03-02 03:19:00
22,UnkA-C20-S2-1MI_7_1,Mar  2 03:23 2017,15.0,0.0,9.856e-08,71.315,85.0,11.3645,2017-03-02 03:23:00
23,UnkA-C20-S2-1MI_7_2,Mar  2 03:26 2017,15.0,0.0,9.861e-08,71.307,84.973,11.3645,2017-03-02 03:26:00
24,UnkA-C20-S2-1MI_7_3,Mar  2 03:30 2017,15.0,0.0,9.862e-08,71.3485,84.9825,11.3645,2017-03-02 03:30:00
25,SC-Olivine,Mar  2 03:33 2017,15.0,0.0,9.866e-08,17.1735,25.6145,11.6455,2017-03-02 03:33:00
26,SC-Olivine,Mar  2 03:37 2017,15.0,0.0,9.866e-08,17.198,25.631,11.6455,2017-03-02 03:37:00
27,SC-Olivine,Mar  2 03:40 2017,15.0,0.0,9.869e-08,17.2185,25.6435,11.6455,2017-03-02 03:40:00
28,UnkA-C20-S2-3MI_1_1,Mar  2 03:43 2017,15.0,0.0,9.857e-08,48.525,74.7525,11.4205,2017-03-02 03:43:00
29,UnkA-C20-S2-3MI_1_2,Mar  2 03:47 2017,15.0,0.0,9.864e-08,48.5675,74.753,11.4205,2017-03-02 03:47:00
30,UnkA-C20-S2-3MI_1_3,Mar  2 03:50 2017,15.0,0.0,9.868e-08,48.54,74.707,11.4205,2017-03-02 03:50:00
31,UnkA-C20-S2-3MI_2_1,Mar  2 03:54 2017,15.0,0.0,9.866e-08,45.0275,75.507,11.4185,2017-03-02 03:54:00
32,UnkA-C20-S2-3MI_2_2,Mar  2 03:57 2017,15.0,0.0,9.868e-08,45.0275,75.4745,11.4185,2017-03-02 03:57:00
33,UnkA-C20-S2-3MI_2_3,Mar  2 04:00 2017,15.0,0.0,9.862e-08,45.1195,75.457,11.4185,2017-03-02 04:00:00
34,UnkA-C20-S2-3MI_3_1,Mar  2 04:04 2017,15.0,0.0,9.868e-08,46.2925,76.5485,11.417,2017-03-02 04:04:00
35,UnkA-C20-S2-3MI_3_2,Mar  2 04:07 2017,15.0,0.0,9.863e-08,46.3345,76.556,11.417,2017-03-02 04:07:00
36,UnkA-C20-S2-3MI_3_3,Mar  2 04:10 2017,15.0,0.0,9.86e-08,46.315,76.5035,11.417,2017-03-02 04:10:00
37,UnkA-C20-S2-3MI_4_1,Mar  2 04:14 2017,15.0,0.0,9.866e-08,51.4185,80.879,11.406,2017-03-02 04:14:00
38,UnkA-C20-S2-3MI_4_2,Mar  2 04:17 2017,15.0,0.0,9.864e-08,51.434,80.906,11.406,2017-03-02 04:17:00
39,UnkA-C20-S2-3MI_4_3,Mar  2 04:21 2017,15.0,0.0,9.868e-08,51.465,80.896,11.406,2017-03-02 04:21:00
40,UnkA-C21MI_1_1,Mar  2 04:24 2017,15.0,0.0,9.856e-08,17.6735,71.9175,11.462,2017-03-02 04:24:00
41,UnkA-C21MI_1_2,Mar  2 04:27 2017,15.0,0.0,9.863e-08,17.7,71.9175,11.462,2017-03-02 04:27:00
42,UnkA-C21MI_1_3,Mar  2 04:31 2017,15.0,0.0,9.862e-08,17.6875,71.8755,11.462,2017-03-02 04:31:00
43,UnkA-C21MI_2_1,Mar  2 04:34 2017,15.0,0.0,9.864e-08,17.464,72.3225,11.462,2017-03-02 04:34:00
44,UnkA-C21MI_2_2,Mar  2 04:38 2017,15.0,0.0,9.862e-08,17.49,72.298,11.462,2017-03-02 04:38:00
45,UnkA-C21MI_2_3,Mar  2 04:41 2017,15.0,0.0,9.862e-08,17.509,72.3225,11.462,2017-03-02 04:41:00
46,UnkA-C21MI_3_1,Mar  2 04:44 2017,15.0,0.0,9.858e-08,17.2805,72.871,11.462,2017-03-02 04:44:00
47,UnkA-C21MI_3_2,Mar  2 04:48 2017,15.0,0.0,9.866e-08,17.264,72.851,11.462,2017-03-02 04:48:00
48,UnkA-C21MI_3_3,Mar  2 04:51 2017,15.0,0.0,9.851e-08,17.275,72.811,11.462,2017-03-02 04:51:00
49,UnkA-C21MI_4_1,Mar  2 04:55 2017,15.0,0.0,9.849e-08,16.4115,71.7785,11.464,2017-03-02 04:55:00
50,UnkA-C21MI_4_2,Mar  2 04:58 2017,15.0,0.0,9.866e-08,16.535,71.776,11.464,2017-03-02 04:58:00
51,UnkA-C21MI_4_3,Mar  2 05:01 2017,15.0,0.0,9.861e-08,16.5155,71.644,11.464,2017-03-02 05:01:00
52,UnkA-C21MI_4_4,Mar  2 05:05 2017,15.0,0.0,9.865e-08,16.3865,71.6085,11.464,2017-03-02 05:05:00
53,UnkA-C21MI_5_1,Mar  2 05:08 2017,15.0,0.0,9.862e-08,16.7665,71.6085,11.463,2017-03-02 05:08:00
54,UnkA-C21MI_5_2,Mar  2 05:12 2017,15.0,0.0,9.868e-08,16.8325,71.6255,11.463,2017-03-02 05:12:00
55,UnkA-C21MI_5_3,Mar  2 05:15 2017,15.0,0.0,9.862e-08,16.8365,71.5455,11.463,2017-03-02 05:15:00
56,UnkA-C21MI_6_1,Mar  2 05:18 2017,15.0,0.0,9.865e-08,16.7705,71.432,11.463,2017-03-02 05:18:00
57,UnkA-C21MI_6_2,Mar  2 05:22 2017,15.0,0.0,9.867e-08,16.8275,71.421,11.463,2017-03-02 05:22:00
58,UnkA-C21MI_6_3,Mar  2 05:25 2017,15.0,0.0,9.865e-08,16.805,71.381,11.463,2017-03-02 05:25:00
59,SC-Olivine,Mar  2 05:29 2017,15.0,0.0,9.868e-08,17.2255,25.6705,11.6455,2017-03-02 05:29:00
60,SC-Olivine,Mar  2 05:32 2017,15.0,0.0,9.867e-08,17.28,25.705,11.6455,2017-03-02 05:32:00
61,SC-Olivine,Mar  2 05:35 2017,15.0,0.0,9.869e-08,17.309,25.6605,11.6455,2017-03-02 05:35:00
62,UnkA-C21MI_7_1,Mar  2 05:39 2017,15.0,0.0,9.865e-08,15.826,72.1815,11.463,2017-03-02 05:39:00
63,UnkA-C21MI_7_2,Mar  2 05:42 2017,15.0,0.0,9.864e-08,15.8785,72.149,11.463,2017-03-02 05:42:00
64,UnkA-C21MI_7_3,Mar  2 05:46 2017,15.0,0.0,9.864e-08,15.832,72.108,11.463,2017-03-02 05:46:00
65,UnkA-C21MI_8_1,Mar  2 05:49 2017,15.0,0.0,9.869e-08,15.539,70.7105,11.466,2017-03-02 05:49:00
66,UnkA-C21MI_8_2,Mar  2 05:52 2017,15.0,0.0,9.866e-08,15.518,70.698,11.466,2017-03-02 05:52:00
67,UnkA-C21MI_8_3,Mar  2 05:56 2017,15.0,0.0,9.87e-08,15.534,70.673,11.466,2017-03-02 05:56:00
68,UnkA-C21MI_9_1,Mar  2 05:59 2017,15.0,0.0,9.865e-08,9.971,74.275,11.4695,2017-03-02 05:59:00
69,UnkA-C21MI_9_2,Mar  2 06:03 2017,15.0,0.0,9.863e-08,9.955,74.2535,11.4695,2017-03-02 06:03:00
70,UnkA-C21MI_9_3,Mar  2 06:06 2017,15.0,0.0,9.864e-08,9.9815,74.2395,11.4695,2017-03-02 06:06:00
71,UnkA-C21MI_10_1,Mar  2 06:09 2017,15.0,0.0,9.865e-08,15.851,74.8055,11.4615,2017-03-02 06:09:00
72,UnkA-C21MI_10_2,Mar  2 06:13 2017,15.0,0.0,9.866e-08,15.7825,74.755,11.4615,2017-03-02 06:13:00
73,UnkA-C21MI_10_3,Mar  2 06:16 2017,15.0,0.0,9.864e-08,15.8295,74.732,11.4615,2017-03-02 06:16:00
74,UnkA-C21MI_11_1,Mar  2 06:20 2017,15.0,0.0,9.858e-08,16.4035,74.3115,11.4615,2017-03-02 06:20:00
75,UnkA-C21MI_11_2,Mar  2 06:23 2017,15.0,0.0,9.859e-08,16.444,74.352,11.4615,2017-03-02 06:23:00
76,UnkA-C21MI_11_3,Mar  2 06:26 2017,15.0,0.0,9.862e-08,16.373,74.369,11.4615,2017-03-02 06:26:00
77,UnkA-C21MI_12_1,Mar  2 06:30 2017,15.0,0.0,9.86e-08,21.7535,73.6985,11.4525,2017-03-02 06:30:00
78,UnkA-C21MI_12_2,Mar  2 06:33 2017,15.0,0.0,9.862e-08,21.7935,73.695,11.4525,2017-03-02 06:33:00
79,UnkA-C21MI_12_3,Mar  2 06:37 2017,15.0,0.0,9.862e-08,21.7955,73.654,11.4525,2017-03-02 06:37:00
80,UnkA-C21MI_13_1,Mar  2 06:40 2017,15.0,0.0,9.862e-08,23.13,76.389,11.448,2017-03-02 06:40:00
81,UnkA-C21MI_13_2,Mar  2 06:43 2017,15.0,0.0,9.863e-08,23.172,76.3835,11.448,2017-03-02 06:43:00
82,UnkA-C21MI_13_3,Mar  2 06:47 2017,15.0,0.0,9.864e-08,23.1445,76.4265,11.448,2017-03-02 06:47:00
83,UnkA-C21MI_14_1,Mar  2 06:50 2017,15.0,0.0,9.866e-08,18.032,75.2275,11.4595,2017-03-02 06:50:00
84,UnkA-C21MI_14_2,Mar  2 06:54 2017,15.0,0.0,9.868e-08,17.9405,75.2125,11.4595,2017-03-02 06:54:00
85,UnkA-C21MI_14_3,Mar  2 06:57 2017,15.0,0.0,9.866e-08,18.0,75.269,11.4595,2017-03-02 06:57:00
86,UnkA-C21MI_15_1,Mar  2 07:00 2017,15.0,0.0,9.862e-08,10.272,76.2655,11.464,2017-03-02 07:00:00
87,UnkA-C21MI_15_2,Mar  2 07:04 2017,15.0,0.0,9.861e-08,10.204,76.321,11.464,2017-03-02 07:04:00
88,UnkA-C21MI_15_3,Mar  2 07:07 2017,15.0,0.0,9.862e-08,10.17,76.2735,11.464,2017-03-02 07:07:00
89,SC-Olivine,Mar  2 07:11 2017,15.0,0.0,9.863e-08,17.272,25.742,11.6455,2017-03-02 07:11:00
90,SC-Olivine,Mar  2 07:14 2017,15.0,0.0,9.866e-08,17.249,25.7565,11.6455,2017-03-02 07:14:00
91,SC-Olivine,Mar  2 07:18 2017,15.0,0.0,9.872e-08,17.249,25.664,11.6455,2017-03-02 07:18:00
92,UnkA-C21MI_16_1,Mar  2 07:21 2017,15.0,0.0,9.862e-08,10.613,77.3545,11.462,2017-03-02 07:21:00
93,UnkA-C21MI_16_2,Mar  2 07:24 2017,15.0,0.0,9.862e-08,10.6005,77.317,11.462,2017-03-02 07:24:00
94,UnkA-C21MI_16_3,Mar  2 07:28 2017,15.0,0.0,9.863e-08,10.6465,77.31,11.462,2017-03-02 07:28:00
95,UnkA-C21MI_17_1,Mar  2 07:31 2017,15.0,0.0,9.86e-08,18.647,80.502,11.4535,2017-03-02 07:31:00
96,UnkA-C21MI_17_2,Mar  2 07:35 2017,15.0,0.0,9.862e-08,18.6865,80.5165,11.4535,2017-03-02 07:35:00
97,UnkA-C21MI_17_3,Mar  2 07:38 2017,15.0,0.0,9.865e-08,18.688,80.4785,11.4535,2017-03-02 07:38:00
98,UnkA-C21MI_18_1,Mar  2 07:41 2017,15.0,0.0,9.86e-08,23.886,79.88,11.4455,2017-03-02 07:41:00
99,UnkA-C21MI_18_2,Mar  2 07:45 2017,15.0,0.0,9.858e-08,23.76,79.8355,11.4455,2017-03-02 07:45:00
100,UnkA-C21MI_18_3,Mar  2 07:48 2017,15.0,0.0,9.866e-08,23.904,79.7815,11.4455,2017-03-02 07:48:00
101,UnkA-C21MI_19_1,Mar  2 07:52 2017,15.0,0.0,9.86e-08,12.0065,79.756,11.46,2017-03-02 07:52:00
102,UnkA-C21MI_19_2,Mar  2 07:55 2017,15.0,0.0,9.862e-08,12.071,79.8035,11.46,2017-03-02 07:55:00
103,UnkA-C21MI_19_3,Mar  2 07:58 2017,15.0,0.0,9.861e-08,12.114,79.769,11.46,2017-03-02 07:58:00
104,UnkA-C21MI_20_1,Mar  2 08:02 2017,15.0,0.0,9.86e-08,11.9515,80.641,11.46,2017-03-02 08:02:00
105,UnkA-C21MI_20_2,Mar  2 08:05 2017,15.0,0.0,9.865e-08,11.94,80.6235,11.46,2017-03-02 08:05:00
106,UnkA-C21MI_20_3,Mar  2 08:08 2017,15.0,0.0,9.863e-08,12.0085,80.6205,11.46,2017-03-02 08:08:00
107,UnkA-C21MI_21_1,Mar  2 08:12 2017,15.0,0.0,9.86e-08,11.3875,81.3445,11.46,2017-03-02 08:12:00
108,UnkA-C21MI_21_2,Mar  2 08:15 2017,15.0,0.0,9.864e-08,11.3805,81.385,11.46,2017-03-02 08:15:00
109,UnkA-C21MI_21_3,Mar  2 08:19 2017,15.0,0.0,9.86e-08,11.3355,81.3935,11.46,2017-03-02 08:19:00
110,UnkA-C21MI_22_1,Mar  2 08:22 2017,15.0,0.0,9.857e-08,9.993,84.198,11.456,2017-03-02 08:22:00
111,UnkA-C21MI_22_2,Mar  2 08:25 2017,15.0,0.0,9.86e-08,9.994,84.17,11.456,2017-03-02 08:25:00
112,UnkA-C21MI_22_3,Mar  2 08:29 2017,15.0,0.0,9.86e-08,9.9675,84.149,11.456,2017-03-02 08:29:00
113,UnkA-C21MI_23_1,Mar  2 08:32 2017,15.0,0.0,9.852e-08,11.9605,86.015,11.455,2017-03-02 08:32:00
114,UnkA-C21MI_23_2,Mar  2 08:36 2017,15.0,0.0,9.853e-08,11.9605,85.9765,11.455,2017-03-02 08:36:00
115,UnkA-C21MI_23_3,Mar  2 08:39 2017,15.0,0.0,9.856e-08,11.9275,85.9455,11.455,2017-03-02 08:39:00
116,UnkA-C21MI_24_1,Mar  2 08:42 2017,15.0,0.0,9.859e-08,12.3325,87.0855,11.455,2017-03-02 08:42:00
117,UnkA-C21MI_24_2,Mar  2 08:46 2017,15.0,0.0,9.864e-08,12.4245,87.1015,11.455,2017-03-02 08:46:00
118,UnkA-C21MI_24_3,Mar  2 08:49 2017,15.0,0.0,9.856e-08,12.4045,87.033,11.455,2017-03-02 08:49:00
119,UnkA-C21MI_24_4,Mar  2 08:53 2017,15.0,0.0,9.863e-08,12.385,87.003,11.455,2017-03-02 08:53:00
120,UnkA-C21MI_25_1,Mar  2 08:56 2017,15.0,0.0,9.857e-08,18.397,85.241,11.4515,2017-03-02 08:56:00
121,UnkA-C21MI_25_2,Mar  2 08:59 2017,15.0,0.0,9.851e-08,18.443,85.193,11.4515,2017-03-02 08:59:00
122,UnkA-C21MI_25_3,Mar  2 09:03 2017,15.0,0.0,9.861e-08,18.385,85.1925,11.4515,2017-03-02 09:03:00
123,UnkA-C21MI_26_1,Mar  2 09:06 2017,15.0,0.0,9.86e-08,18.074,85.7585,11.4515,2017-03-02 09:06:00
124,UnkA-C21MI_26_2,Mar  2 09:09 2017,15.0,0.0,9.863e-08,18.1045,85.7415,11.4515,2017-03-02 09:09:00
125,UnkA-C21MI_26_3,Mar  2 09:13 2017,15.0,0.0,9.863e-08,18.138,85.759,11.4515,2017-03-02 09:13:00
126,SC-Olivine,Mar  2 09:16 2017,15.0,0.0,9.857e-08,17.236,25.664,11.6455,2017-03-02 09:16:00
127,SC-Olivine,Mar  2 09:20 2017,15.0,0.0,9.864e-08,17.2075,25.694,11.6455,2017-03-02 09:20:00
128,SC-Olivine,Mar  2 09:23 2017,15.0,0.0,9.869e-08,17.1475,25.729,11.6455,2017-03-02 09:23:00
