No.,Mg,Mn,Fe,Si,Ca,Cr,Ni,Al,Total,Comment,material,is_std,sample,spot
1,60.5853,0.1022,6.5276,32.4289,0.0896,0.01,0.2411,0.0152,100.0,SC-Olivine,SC-Ol,True,,
2,60.4845,0.0978,6.568,32.4924,0.0856,0.0052,0.2504,0.0159,100.0,SC-Olivine,SC-Ol,True,,
3,60.569,0.0999,6.5085,32.4805,0.0912,0.0058,0.2286,0.0166,100.0,SC-Olivine,SC-Ol,True,,
4,57.0621,0.1706,10.089,32.1971,0.3152,0.0117,0.1366,0.0176,100.0,UnkA-C20-S2-1MI_1_1,UnkA-C20-S2-1MI_1,False,UnkA-C20-S2-1MI_1,1.0
5,56.8465,0.1821,10.3775,32.1218,0.3154,0.008,0.1319,0.0167,100.0,UnkA-C20-S2-1MI_1_2,UnkA-C20-S2-1MI_1,False,UnkA-C20-S2-1MI_1,2.0
6,56.988,0.1545,9.6123,32.7878,0.298,0.0087,0.1387,0.0121,100.0,UnkA-C20-S2-1MI_1_3,UnkA-C20-S2-1MI_1,False,UnkA-C20-S2-1MI_1,3.0
7,55.5804,0.1759,10.6253,33.1716,0.3035,0.0058,0.1203,0.0172,100.0,UnkA-C20-S2-1MI_2_1,UnkA-C20-S2-1MI_2,False,UnkA-C20-S2-1MI_2,1.0
8,56.3243,0.1798,10.7067,32.3249,0.3103,0.0037,0.1308,0.0194,100.0,UnkA-C20-S2-1MI_2_2,UnkA-C20-S2-1MI_2,False,UnkA-C20-S2-1MI_2,2.0
9,55.7257,0.1752,10.8007,32.8366,0.3032,0.0016,0.1328,0.0242,100.0,UnkA-C20-S2-1MI_2_3,UnkA-C20-S2-1MI_2,False,UnkA-C20-S2-1MI_2,3.0
10,58.2993,0.1446,8.8304,32.2379,0.3179,0.0137,0.1343,0.022,100.0,UnkA-C20-S2-1MI_3_1,UnkA-C20-S2-1MI_3,False,UnkA-C20-S2-1MI_3,1.0
11,58.1893,0.1526,8.9574,32.2222,0.3153,0.0104,0.1411,0.0118,100.0,UnkA-C20-S2-1MI_3_2,UnkA-C20-S2-1MI_3,False,UnkA-C20-S2-1MI_3,2.0
12,57.6414,0.1447,8.8015,32.9337,0.3096,0.0141,0.1384,0.0166,100.0,UnkA-C20-S2-1MI_3_3,UnkA-C20-S2-1MI_3,False,UnkA-C20-S2-1MI_3,3.0
13,57.8423,0.1464,8.8186,32.7043,0.3167,0.0107,0.144,0.017,100.0,UnkA-C20-S2-1MI_4_1,UnkA-C20-S2-1MI_4,False,UnkA-C20-S2-1MI_4,1.0
14,57.6038,0.1411,8.9416,32.8372,0.3098,0.0108,0.1447,0.011,100.0,UnkA-C20-S2-1MI_4_2,UnkA-C20-S2-1MI_4,False,UnkA-C20-S2-1MI_4,2.0
15,58.6249,0.1431,8.6924,32.0483,0.3145,0.0132,0.145,0.0185,100.0,UnkA-C20-S2-1MI_4_3,UnkA-C20-S2-1MI_4,False,UnkA-C20-S2-1MI_4,3.0
16,56.6284,0.164,9.8609,32.8887,0.2871,0.0223,0.1307,0.0179,100.0,UnkA-C20-S2-1MI_5_1,UnkA-C20-S2-1MI_5,False,UnkA-C20-S2-1MI_5,1.0
17,57.128,0.1599,9.9355,32.3249,0.2867,0.0092,0.1421,0.0137,100.0,UnkA-C20-S2-1MI_5_2,UnkA-C20-S2-1MI_5,False,UnkA-C20-S2-1MI_5,2.0
18,57.1768,0.1631,9.987,32.2314,0.2822,0.005,0.1408,0.0136,100.0,UnkA-C20-S2-1MI_5_3,UnkA-C20-S2-1MI_5,False,UnkA-C20-S2-1MI_5,3.0
19,58.3777,0.1528,8.8479,32.136,0.3117,0.0129,0.1469,0.0141,100.0,UnkA-C20-S2-1MI_6_1,UnkA-C20-S2-1MI_6,False,UnkA-C20-S2-1MI_6,1.0
20,58.4551,0.1392,8.7951,32.1279,0.3125,0.0131,0.144,0.0131,100.0,UnkA-C20-S2-1MI_6_2,UnkA-C20-S2-1MI_6,False,UnkA-C20-S2-1MI_6,2.0
21,58.2192,0.1522,9.0257,32.1031,0.3276,0.0102,0.1468,0.0153,100.0,UnkA-C20-S2-1MI_6_3,UnkA-C20-S2-1MI_6,False,UnkA-C20-S2-1MI_6,3.0
22,57.3135,0.1648,9.8515,32.1878,0.3047,0.0128,0.1503,0.0147,100.0,UnkA-C20-S2-1MI_7_1,UnkA-C20-S2-1MI_7,False,UnkA-C20-S2-1MI_7,1.0
23,57.3089,0.1676,9.8577,32.1944,0.2993,0.0073,0.1509,0.0138,100.0,UnkA-C20-S2-1MI_7_2,UnkA-C20-S2-1MI_7,False,UnkA-C20-S2-1MI_7,2.0
24,56.8248,0.1587,9.6724,32.8731,0.298,0.0075,0.1464,0.0191,100.0,UnkA-C20-S2-1MI_7_3,UnkA-C20-S2-1MI_7,False,UnkA-C20-S2-1MI_7,3.0
25,60.621,0.0996,6.5065,32.4364,0.087,0.0023,0.2321,0.0151,100.0,SC-Olivine,SC-Ol,True,,
26,60.673,0.1033,6.4602,32.412,0.0914,0.0046,0.2399,0.0155,100.0,SC-Olivine,SC-Ol,True,,
27,60.7209,0.0949,6.527,32.3147,0.0908,0.0062,0.2278,0.0178,100.0,SC-Olivine,SC-Ol,True,,
28,57.603,0.1384,8.6147,33.1672,0.2919,0.0174,0.146,0.0215,100.0,UnkA-C20-S2-3MI_1_1,UnkA-C20-S2-3MI_1,False,UnkA-C20-S2-3MI_1,1.0
29,57.3853,0.1526,8.8247,33.1335,0.3297,0.0098,0.1453,0.0192,100.0,UnkA-C20-S2-3MI_1_2,UnkA-C20-S2-3MI_1,False,UnkA-C20-S2-3MI_1,2.0
30,57.7039,0.1333,8.4945,33.2251,0.2738,0.0107,0.1428,0.0158,100.0,UnkA-C20-S2-3MI_1_3,UnkA-C20-S2-3MI_1,False,UnkA-C20-S2-3MI_1,3.0
31,56.3811,0.1601,9.8076,33.1592,0.313,0.0065,0.1546,0.0178,100.0,UnkA-C20-S2-3MI_2_1,UnkA-C20-S2-3MI_2,False,UnkA-C20-S2-3MI_2,1.0
32,56.6076,0.1619,9.613,33.1242,0.3083,0.0093,0.1578,0.0179,100.0,UnkA-C20-S2-3MI_2_2,UnkA-C20-S2-3MI_2,False,UnkA-C20-S2-3MI_2,2.0
33,56.9798,0.1579,9.5587,32.8205,0.2986,0.0092,0.1614,0.0139,100.0,UnkA-C20-S2-3MI_2_3,UnkA-C20-S2-3MI_2,False,UnkA-C20-S2-3MI_2,3.0
34,55.4418,0.1776,10.7536,33.1514,0.3097,0.0031,0.1453,0.0174,100.0,UnkA-C20-S2-3MI_3_1,UnkA-C20-S2-3MI_3,False,UnkA-C20-S2-3MI_3,1.0
35,55.4205,0.1818,10.9059,33.0348,0.3089,0.0034,0.1294,0.0154,100.0,UnkA-C20-S2-3MI_3_2,UnkA-C20-S2-3MI_3,False,UnkA-C20-S2-3MI_3,2.0
36,55.3865,0.1768,10.9106,33.0567,0.31,0.0083,0.1328,0.0183,100.0,UnkA-C20-S2-3MI_3_3,UnkA-C20-S2-3MI_3,False,UnkA-C20-S2-3MI_3,3.0
37,57.4825,0.149,8.9696,32.9282,0.2973,0.0135,0.1461,0.0138,100.0,UnkA-C20-S2-3MI_4_1,UnkA-C20-S2-3MI_4,False,UnkA-C20-S2-3MI_4,1.0
38,57.6174,0.151,8.8495,32.9228,0.2965,0.0128,0.1354,0.0146,100.0,UnkA-C20-S2-3MI_4_2,UnkA-C20-S2-3MI_4,False,UnkA-C20-S2-3MI_4,2.0
39,57.548,0.1416,8.9429,32.9225,0.2932,0.0079,0.1312,0.0126,100.0,UnkA-C20-S2-3MI_4_3,UnkA-C20-S2-3MI_4,False,UnkA-C20-S2-3MI_4,3.0
40,54.5701,0.216,11.8975,32.8451,0.3396,0.0046,0.1113,0.0158,100.0,UnkA-C21MI_1_1,UnkA-C21MI_1,False,UnkA-C21MI_1,1.0
41,54.9606,0.2198,12.1361,32.2081,0.354,0.0008,0.104,0.0166,100.0,UnkA-C21MI_1_2,UnkA-C21MI_1,False,UnkA-C21MI_1,2.0
42,54.943,0.2187,12.2512,32.1199,0.347,0.0046,0.1011,0.0147,100.0,UnkA-C21MI_1_3,UnkA-C21MI_1,False,UnkA-C21MI_1,3.0
43,54.9121,0.2201,12.212,32.1847,0.3471,0.0046,0.1054,0.0139,100.0,UnkA-C21MI_2_1,UnkA-C21MI_2,False,UnkA-C21MI_2,1.0
44,54.7092,0.2227,12.3433,32.2752,0.3367,0.0042,0.0967,0.0121,100.0,UnkA-C21MI_2_2,UnkA-C21MI_2,False,UnkA-C21MI_2,2.0
45,53.4269,0.2405,12.945,32.9218,0.3585,0.0,0.0955,0.0117,100.0,UnkA-C21MI_2_3,UnkA-C21MI_2,False,UnkA-C21MI_2,3.0
46,56.7772,0.2201,10.2954,32.2447,0.2881,0.0048,0.1595,0.0104,100.0,UnkA-C21MI_3_1,UnkA-C21MI_3,False,UnkA-C21MI_3,1.0
47,55.6575,0.2234,10.7171,32.9411,0.297,0.0065,0.1463,0.0112,100.0,UnkA-C21MI_3_2,UnkA-C21MI_3,False,UnkA-C21MI_3,2.0
48,57.4426,0.2303,9.6521,32.2072,0.2844,0.0099,0.1627,0.0108,100.0,UnkA-C21MI_3_3,UnkA-C21MI_3,False,UnkA-C21MI_3,3.0
49,52.3036,0.2601,13.9566,33.116,0.2624,0.0023,0.088,0.0112,100.0,UnkA-C21MI_4_1,UnkA-C21MI_4,False,UnkA-C21MI_4,1.0
50,52.2558,0.2555,13.9739,33.1402,0.2677,0.0,0.092,0.0147,100.0,UnkA-C21MI_4_2,UnkA-C21MI_4,False,UnkA-C21MI_4,2.0
51,52.282,0.2617,13.9143,33.1573,0.2823,0.0015,0.0846,0.0164,100.0,UnkA-C21MI_4_3,UnkA-C21MI_4,False,UnkA-C21MI_4,3.0
52,52.9918,0.2551,14.0356,32.3359,0.2686,0.0012,0.0972,0.0145,100.0,UnkA-C21MI_4_4,UnkA-C21MI_4,False,UnkA-C21MI_4,4.0
53,52.2263,0.2627,14.1489,32.9892,0.263,0.0014,0.0934,0.0151,100.0,UnkA-C21MI_5_1,UnkA-C21MI_5,False,UnkA-C21MI_5,1.0
54,52.3295,0.2608,13.9547,33.0772,0.2639,0.0004,0.099,0.0143,100.0,UnkA-C21MI_5_2,UnkA-C21MI_5,False,UnkA-C21MI_5,2.0
55,52.7569,0.2679,14.2998,32.2997,0.2678,0.0035,0.087,0.0175,100.0,UnkA-C21MI_5_3,UnkA-C21MI_5,False,UnkA-C21MI_5,3.0
56,52.9147,0.2637,14.12,32.3251,0.269,0.0035,0.0912,0.0129,100.0,UnkA-C21MI_6_1,UnkA-C21MI_6,False,UnkA-C21MI_6,1.0
57,53.021,0.2618,14.1132,32.2388,0.2628,0.0,0.0902,0.0123,100.0,UnkA-C21MI_6_2,UnkA-C21MI_6,False,UnkA-C21MI_6,2.0
58,52.9497,0.265,14.1354,32.257,0.276,0.0029,0.0945,0.0195,100.0,UnkA-C21MI_6_3,UnkA-C21MI_6,False,UnkA-C21MI_6,3.0
59,60.5683,0.1028,6.5148,32.4736,0.0891,0.0017,0.2333,0.0164,100.0,SC-Olivine,SC-Ol,True,,
60,60.6708,0.1005,6.5529,32.3349,0.0902,0.0033,0.2324,0.015,100.0,SC-Olivine,SC-Ol,True,,
61,60.7696,0.0935,6.4619,32.3147,0.0897,0.0046,0.2476,0.0183,100.0,SC-Olivine,SC-Ol,True,,
62,56.2568,0.172,10.1974,32.9205,0.3048,0.0051,0.1286,0.0149,100.0,UnkA-C21MI_7_1,UnkA-C21MI_7,False,UnkA-C21MI_7,1.0
63,57.0175,0.1711,10.1674,32.1951,0.3036,0.0047,0.1272,0.0134,100.0,UnkA-C21MI_7_2,UnkA-C21MI_7,False,UnkA-C21MI_7,2.0
