No.,MgO,MnO,FeO,SiO2,CaO,Cr2O3,NiO,Al2O3,Total,Comment,material,is_std,sample,spot
1,49.78,0.1478,9.56,39.72,0.1024,0.0311,0.3672,0.0316,99.7402,SC-Olivine,SC-Ol,True,,
2,49.65,0.1413,9.61,39.76,0.0978,0.0162,0.381,0.033,99.6893,SC-Olivine,SC-Ol,True,,
3,49.6,0.144,9.5,39.65,0.1039,0.0179,0.3469,0.0344,99.3971,SC-Olivine,SC-Ol,True,,
4,46.01,0.2421,14.5,38.7,0.3536,0.0355,0.2042,0.0358,100.0811,UnkA-C20-S2-1MI_1_1,UnkA-C20-S2-1MI_1,False,UnkA-C20-S2-1MI_1,1.0
5,45.73,0.2578,14.88,38.52,0.353,0.0244,0.1967,0.034,99.9959,UnkA-C20-S2-1MI_1_2,UnkA-C20-S2-1MI_1,False,UnkA-C20-S2-1MI_1,2.0
6,46.3,0.2209,13.92,39.71,0.3368,0.0266,0.2088,0.0248,100.7479,UnkA-C20-S2-1MI_1_3,UnkA-C20-S2-1MI_1,False,UnkA-C20-S2-1MI_1,3.0
7,44.96,0.2504,15.32,40.0,0.3416,0.0176,0.1803,0.0352,101.105,UnkA-C20-S2-1MI_2_1,UnkA-C20-S2-1MI_2,False,UnkA-C20-S2-1MI_2,1.0
8,44.92,0.2524,15.22,38.43,0.3443,0.011,0.1934,0.0391,99.4103,UnkA-C20-S2-1MI_2_2,UnkA-C20-S2-1MI_2,False,UnkA-C20-S2-1MI_2,2.0
9,44.49,0.2462,15.37,39.08,0.3368,0.0049,0.1965,0.0488,99.7733,UnkA-C20-S2-1MI_2_3,UnkA-C20-S2-1MI_2,False,UnkA-C20-S2-1MI_2,3.0
10,47.3,0.2065,12.77,38.99,0.3588,0.0418,0.2019,0.0451,99.9142,UnkA-C20-S2-1MI_3_1,UnkA-C20-S2-1MI_3,False,UnkA-C20-S2-1MI_3,1.0
11,47.27,0.2181,12.97,39.02,0.3563,0.0319,0.2124,0.0242,100.1029,UnkA-C20-S2-1MI_3_2,UnkA-C20-S2-1MI_3,False,UnkA-C20-S2-1MI_3,2.0
12,47.14,0.2082,12.83,40.15,0.3522,0.0436,0.2098,0.0344,100.9682,UnkA-C20-S2-1MI_3_3,UnkA-C20-S2-1MI_3,False,UnkA-C20-S2-1MI_3,3.0
13,47.47,0.2114,12.9,40.01,0.3616,0.0332,0.219,0.0353,101.2405,UnkA-C20-S2-1MI_4_1,UnkA-C20-S2-1MI_4,False,UnkA-C20-S2-1MI_4,1.0
14,47.13,0.2032,13.04,40.05,0.3526,0.0334,0.2194,0.0227,101.0512,UnkA-C20-S2-1MI_4_2,UnkA-C20-S2-1MI_4,False,UnkA-C20-S2-1MI_4,2.0
15,47.6,0.2045,12.58,38.79,0.3553,0.0403,0.2182,0.038,99.8264,UnkA-C20-S2-1MI_4_3,UnkA-C20-S2-1MI_4,False,UnkA-C20-S2-1MI_4,3.0
16,46.04,0.2346,14.29,39.86,0.3247,0.0684,0.1969,0.0368,101.0513,UnkA-C20-S2-1MI_5_1,UnkA-C20-S2-1MI_5,False,UnkA-C20-S2-1MI_5,1.0
17,46.13,0.2272,14.3,38.91,0.3221,0.0279,0.2127,0.028,100.1578,UnkA-C20-S2-1MI_5_2,UnkA-C20-S2-1MI_5,False,UnkA-C20-S2-1MI_5,2.0
18,46.22,0.232,14.39,38.84,0.3174,0.0152,0.2109,0.0279,100.2533,UnkA-C20-S2-1MI_5_3,UnkA-C20-S2-1MI_5,False,UnkA-C20-S2-1MI_5,3.0
19,47.27,0.2178,12.77,38.79,0.3511,0.0395,0.2204,0.0288,99.6877,UnkA-C20-S2-1MI_6_1,UnkA-C20-S2-1MI_6,False,UnkA-C20-S2-1MI_6,1.0
20,47.43,0.1987,12.72,38.86,0.3528,0.04,0.2165,0.0268,99.8449,UnkA-C20-S2-1MI_6_2,UnkA-C20-S2-1MI_6,False,UnkA-C20-S2-1MI_6,2.0
21,47.19,0.2171,13.04,38.79,0.3694,0.0311,0.2205,0.0313,99.8895,UnkA-C20-S2-1MI_6_3,UnkA-C20-S2-1MI_6,False,UnkA-C20-S2-1MI_6,3.0
22,46.25,0.234,14.17,38.72,0.3421,0.039,0.2248,0.03,100.0098,UnkA-C20-S2-1MI_7_1,UnkA-C20-S2-1MI_7,False,UnkA-C20-S2-1MI_7,1.0
23,46.38,0.2387,14.22,38.84,0.337,0.0224,0.2264,0.0282,100.2926,UnkA-C20-S2-1MI_7_2,UnkA-C20-S2-1MI_7,False,UnkA-C20-S2-1MI_7,2.0
24,46.21,0.2271,14.02,39.85,0.3371,0.0231,0.2206,0.0392,100.927,UnkA-C20-S2-1MI_7_3,UnkA-C20-S2-1MI_7,False,UnkA-C20-S2-1MI_7,3.0
25,49.71,0.1437,9.51,39.65,0.0992,0.0072,0.3527,0.0314,99.5043,SC-Olivine,SC-Ol,True,,
26,49.74,0.1491,9.44,39.61,0.1043,0.0142,0.3645,0.0321,99.4543,SC-Olivine,SC-Ol,True,,
27,49.74,0.1368,9.53,39.46,0.1035,0.019,0.3459,0.0368,99.372,SC-Olivine,SC-Ol,True,,
28,47.08,0.199,12.55,40.41,0.3319,0.0536,0.2212,0.0444,100.89,UnkA-C20-S2-3MI_1_1,UnkA-C20-S2-3MI_1,False,UnkA-C20-S2-3MI_1,1.0
29,46.88,0.2194,12.85,40.35,0.3747,0.0302,0.22,0.0396,100.9638,UnkA-C20-S2-3MI_1_2,UnkA-C20-S2-3MI_1,False,UnkA-C20-S2-3MI_1,2.0
30,47.22,0.192,12.39,40.53,0.3117,0.0331,0.2166,0.0327,100.926,UnkA-C20-S2-3MI_1_3,UnkA-C20-S2-3MI_1,False,UnkA-C20-S2-3MI_1,3.0
31,45.83,0.229,14.21,40.18,0.354,0.02,0.2329,0.0366,101.0924,UnkA-C20-S2-3MI_2_1,UnkA-C20-S2-3MI_2,False,UnkA-C20-S2-3MI_2,1.0
32,46.12,0.2321,13.96,40.23,0.3495,0.0286,0.2383,0.0368,101.1952,UnkA-C20-S2-3MI_2_2,UnkA-C20-S2-3MI_2,False,UnkA-C20-S2-3MI_2,2.0
33,46.62,0.2274,13.94,40.03,0.3399,0.0284,0.2447,0.0288,101.4591,UnkA-C20-S2-3MI_2_3,UnkA-C20-S2-3MI_2,False,UnkA-C20-S2-3MI_2,3.0
34,44.92,0.2532,15.53,40.04,0.3491,0.0094,0.2182,0.0357,101.3555,UnkA-C20-S2-3MI_3_1,UnkA-C20-S2-3MI_3,False,UnkA-C20-S2-3MI_3,1.0
35,44.96,0.2596,15.77,39.95,0.3486,0.0103,0.1946,0.0316,101.5247,UnkA-C20-S2-3MI_3_2,UnkA-C20-S2-3MI_3,False,UnkA-C20-S2-3MI_3,2.0
36,44.97,0.2526,15.79,40.01,0.3502,0.0254,0.1998,0.0375,101.6354,UnkA-C20-S2-3MI_3_3,UnkA-C20-S2-3MI_3,False,UnkA-C20-S2-3MI_3,3.0
37,47.1,0.2149,13.1,40.22,0.3389,0.0418,0.2219,0.0285,101.266,UnkA-C20-S2-3MI_4_1,UnkA-C20-S2-3MI_4,False,UnkA-C20-S2-3MI_4,1.0
38,47.23,0.2179,12.93,40.23,0.3381,0.0396,0.2057,0.0302,101.2214,UnkA-C20-S2-3MI_4_2,UnkA-C20-S2-3MI_4,False,UnkA-C20-S2-3MI_4,2.0
39,47.15,0.2042,13.06,40.21,0.3342,0.0243,0.1993,0.0262,101.2082,UnkA-C20-S2-3MI_4_3,UnkA-C20-S2-3MI_4,False,UnkA-C20-S2-3MI_4,3.0
40,44.08,0.3071,17.13,39.55,0.3816,0.014,0.1667,0.0323,101.6616,UnkA-C21MI_1_1,UnkA-C21MI_1,False,UnkA-C21MI_1,1.0
41,43.98,0.3095,17.31,38.42,0.3941,0.0024,0.1542,0.0337,100.6038,UnkA-C21MI_1_2,UnkA-C21MI_1,False,UnkA-C21MI_1,2.0
42,43.88,0.3074,17.44,38.24,0.3855,0.0138,0.1496,0.0296,100.4458,UnkA-C21MI_1_3,UnkA-C21MI_1,False,UnkA-C21MI_1,3.0
43,43.87,0.3095,17.39,38.33,0.3858,0.014,0.1561,0.028,100.4834,UnkA-C21MI_2_1,UnkA-C21MI_2,False,UnkA-C21MI_2,1.0
44,43.79,0.3137,17.61,38.51,0.3749,0.0127,0.1435,0.0244,100.7792,UnkA-C21MI_2_2,UnkA-C21MI_2,False,UnkA-C21MI_2,2.0
45,42.86,0.3396,18.51,39.37,0.4001,0.0,0.142,0.0238,101.6455,UnkA-C21MI_2_3,UnkA-C21MI_2,False,UnkA-C21MI_2,3.0
46,45.76,0.3122,14.79,38.74,0.323,0.0146,0.2382,0.0211,100.1991,UnkA-C21MI_3_1,UnkA-C21MI_3,False,UnkA-C21MI_3,1.0
47,45.19,0.3192,15.51,39.87,0.3355,0.0198,0.2201,0.0229,101.4874,UnkA-C21MI_3_2,UnkA-C21MI_3,False,UnkA-C21MI_3,2.0
48,46.41,0.3274,13.9,38.79,0.3197,0.0302,0.2437,0.0221,100.043,UnkA-C21MI_3_3,UnkA-C21MI_3,False,UnkA-C21MI_3,3.0
49,41.84,0.3661,19.9,39.49,0.292,0.0068,0.1305,0.0226,102.0479,UnkA-C21MI_4_1,UnkA-C21MI_4,False,UnkA-C21MI_4,1.0
50,41.75,0.3593,19.9,39.47,0.2976,0.0,0.1363,0.0298,101.9429,UnkA-C21MI_4_2,UnkA-C21MI_4,False,UnkA-C21MI_4,2.0
51,41.76,0.3678,19.81,39.48,0.3137,0.0044,0.1252,0.0331,101.8941,UnkA-C21MI_4_3,UnkA-C21MI_4,False,UnkA-C21MI_4,3.0
52,41.94,0.3553,19.8,38.15,0.2958,0.0036,0.1426,0.029,100.7162,UnkA-C21MI_4_4,UnkA-C21MI_4,False,UnkA-C21MI_4,4.0
53,41.79,0.3699,20.18,39.35,0.2928,0.0042,0.1385,0.0306,102.1559,UnkA-C21MI_5_1,UnkA-C21MI_5,False,UnkA-C21MI_5,1.0
54,41.74,0.3661,19.84,39.33,0.2929,0.0013,0.1464,0.0289,101.7456,UnkA-C21MI_5_2,UnkA-C21MI_5,False,UnkA-C21MI_5,2.0
55,41.79,0.3734,20.19,38.14,0.2951,0.0104,0.1277,0.0351,100.9616,UnkA-C21MI_5_3,UnkA-C21MI_5,False,UnkA-C21MI_5,3.0
56,41.86,0.3671,19.91,38.12,0.296,0.0103,0.1337,0.0258,100.7228,UnkA-C21MI_6_1,UnkA-C21MI_6,False,UnkA-C21MI_6,1.0
57,41.88,0.3639,19.87,37.96,0.2888,0.0,0.132,0.0245,100.5191,UnkA-C21MI_6_2,UnkA-C21MI_6,False,UnkA-C21MI_6,2.0
58,41.8,0.3682,19.89,37.96,0.3031,0.0087,0.1382,0.039,100.5071,UnkA-C21MI_6_3,UnkA-C21MI_6,False,UnkA-C21MI_6,3.0
59,49.76,0.1487,9.54,39.77,0.1018,0.0054,0.3552,0.034,99.7152,SC-Olivine,SC-Ol,True,,
60,49.97,0.1457,9.62,39.7,0.1033,0.0104,0.3548,0.0313,99.9356,SC-Olivine,SC-Ol,True,,
61,50.07,0.1356,9.49,39.69,0.1028,0.0143,0.3781,0.0382,99.9191,SC-Olivine,SC-Ol,True,,
62,45.9,0.2469,14.83,40.04,0.346,0.0156,0.1944,0.0308,101.6036,UnkA-C21MI_7_1,UnkA-C21MI_7,False,UnkA-C21MI_7,1.0
63,46.06,0.2432,14.64,38.77,0.3412,0.0143,0.1905,0.0273,100.2864,UnkA-C21MI_7_2,UnkA-C21MI_7,False,UnkA-C21MI_7,2.0
64,45.96,0.2528,14.74,39.89,0.3428,0.017,0.1889,0.0289,101.4203,UnkA-C21MI_7_3,UnkA-C21MI_7,False,UnkA-C21MI_7,3.0
65,43.23,0.3224,18.07,39.39,0.3887,0.0114,0.1573,0.0295,101.5993,UnkA-C21MI_8_1,UnkA-C21MI_8,False,UnkA-C21MI_8,1.0
66,42.66,0.3365,18.5,39.49,0.3509,0.0032,0.1384,0.0316,101.5105,UnkA-C21MI_8_2,UnkA-C21MI_8,False,UnkA-C21MI_8,2.0
67,42.75,0.333,18.69,38.23,0.3902,0.0,0.119,0.0277,100.5399,UnkA-C21MI_8_3,UnkA-C21MI_8,False,UnkA-C21MI_8,3.0
68,42.1,0.3705,19.49,39.53,0.3161,0.0037,0.1083,0.0226,101.9411,UnkA-C21MI_9_1,UnkA-C21MI_9,False,UnkA-C21MI_9,1.0
69,42.17,0.3649,19.33,38.56,0.3123,0.0042,0.1292,0.0279,100.8985,UnkA-C21MI_9_2,UnkA-C21MI_9,False,UnkA-C21MI_9,2.0
70,42.13,0.3771,19.44,39.43,0.3307,0.0082,0.1223,0.0284,101.8667,UnkA-C21MI_9_3,UnkA-C21MI_9,False,UnkA-C21MI_9,3.0
71,44.8,0.2985,15.85,39.95,0.3471,0.0125,0.1936,0.0279,101.4795,UnkA-C21MI_10_1,UnkA-C21MI_10,False,UnkA-C21MI_10,1.0
72,45.86,0.2844,14.41,40.0,0.3241,0.0248,0.2321,0.0245,101.1598,UnkA-C21MI_10_2,UnkA-C21MI_10,False,UnkA-C21MI_10,2.0
73,44.85,0.2955,15.85,39.82,0.3525,0.0123,0.201,0.0269,101.4081,UnkA-C21MI_10_3,UnkA-C21MI_10,False,UnkA-C21MI_10,3.0
74,45.14,0.3078,15.45,40.34,0.3708,0.0259,0.2117,0.0232,101.8693,UnkA-C21MI_11_1,UnkA-C21MI_11,False,UnkA-C21MI_11,1.0
75,44.9,0.2939,15.94,40.15,0.3675,0.0155,0.2037,0.0251,101.8957,UnkA-C21MI_11_2,UnkA-C21MI_11,False,UnkA-C21MI_11,2.0
76,45.09,0.3033,15.59,40.31,0.3864,0.0084,0.2115,0.0203,101.9199,UnkA-C21MI_11_3,UnkA-C21MI_11,False,UnkA-C21MI_11,3.0
77,45.42,0.2905,15.31,40.4,0.349,0.026,0.2077,0.0193,102.0225,UnkA-C21MI_12_1,UnkA-C21MI_12,False,UnkA-C21MI_12,1.0
78,44.88,0.299,15.78,40.26,0.3909,0.0041,0.1972,0.0276,101.8387,UnkA-C21MI_12_2,UnkA-C21MI_12,False,UnkA-C21MI_12,2.0
79,44.63,0.3036,16.18,40.23,0.3528,0.0058,0.1971,0.0214,101.9206,UnkA-C21MI_12_3,UnkA-C21MI_12,False,UnkA-C21MI_12,3.0
80,45.18,0.2802,15.54,40.22,0.3536,0.0176,0.1672,0.0379,101.7964,UnkA-C21MI_13_1,UnkA-C21MI_13,False,UnkA-C21MI_13,1.0
81,44.12,0.3148,17.1,40.0,0.3635,0.014,0.1673,0.0209,102.1004,UnkA-C21MI_13_2,UnkA-C21MI_13,False,UnkA-C21MI_13,2.0
82,43.87,0.3188,17.2,39.86,0.3628,0.0122,0.1697,0.0402,101.8336,UnkA-C21MI_13_3,UnkA-C21MI_13,False,UnkA-C21MI_13,3.0
83,42.17,0.344,19.45,38.74,0.3136,0.0,0.1031,0.0278,101.1485,UnkA-C21MI_14_1,UnkA-C21MI_14,False,UnkA-C21MI_14,1.0
84,42.27,0.353,19.33,39.59,0.3083,0.0057,0.1153,0.035,102.0072,UnkA-C21MI_14_2,UnkA-C21MI_14,False,UnkA-C21MI_14,2.0
85,42.18,0.3589,19.43,39.72,0.3049,0.0067,0.115,0.0278,102.1432,UnkA-C21MI_14_3,UnkA-C21MI_14,False,UnkA-C21MI_14,3.0
86,42.5,0.3624,18.9,38.79,0.3268,0.0013,0.1137,0.0267,101.0208,UnkA-C21MI_15_1,UnkA-C21MI_15,False,UnkA-C21MI_15,1.0
87,42.54,0.3608,19.04,38.79,0.3304,0.0,0.1255,0.0212,101.2079,UnkA-C21MI_15_2,UnkA-C21MI_15,False,UnkA-C21MI_15,2.0
88,42.45,0.3611,18.83,38.74,0.3263,0.0055,0.1132,0.0319,100.8579,UnkA-C21MI_15_3,UnkA-C21MI_15,False,UnkA-C21MI_15,3.0
89,49.77,0.1457,9.54,40.18,0.0991,0.0215,0.3401,0.0389,100.1352,SC-Olivine,SC-Ol,True,,
90,49.77,0.1421,9.48,40.34,0.102,0.0193,0.2834,0.0308,100.1675,SC-Olivine,SC-Ol,True,,
91,49.67,0.1434,9.37,40.22,0.1015,0.0098,0.3556,0.0291,99.8995,SC-Olivine,SC-Ol,True,,
92,43.22,0.3358,18.02,38.7,0.3862,0.0001,0.1259,0.0293,100.8172,UnkA-C21MI_16_1,UnkA-C21MI_16,False,UnkA-C21MI_16,1.0
93,43.12,0.3379,18.32,38.45,0.3811,0.0051,0.1499,0.0236,100.7875,UnkA-C21MI_16_2,UnkA-C21MI_16,False,UnkA-C21MI_16,2.0
94,43.18,0.3211,18.21,38.41,0.3881,0.0033,0.1381,0.0294,100.6799,UnkA-C21MI_16_3,UnkA-C21MI_16,False,UnkA-C21MI_16,3.0
95,44.14,0.308,16.69,40.0,0.3999,0.0195,0.1594,0.032,101.7487,UnkA-C21MI_17_1,UnkA-C21MI_17,False,UnkA-C21MI_17,1.0
96,43.39,0.3164,17.68,39.79,0.3881,0.007,0.1562,0.0303,101.7579,UnkA-C21MI_17_2,UnkA-C21MI_17,False,UnkA-C21MI_17,2.0
97,43.65,0.2989,17.31,39.91,0.3941,0.0098,0.134,0.0231,101.7299,UnkA-C21MI_17_3,UnkA-C21MI_17,False,UnkA-C21MI_17,3.0
98,44.4,0.2911,16.71,40.06,0.3852,0.0066,0.1518,0.0341,102.0388,UnkA-C21MI_18_1,UnkA-C21MI_18,False,UnkA-C21MI_18,1.0
99,44.36,0.2846,16.96,39.91,0.384,0.0106,0.1547,0.0282,102.092,UnkA-C21MI_18_2,UnkA-C21MI_18,False,UnkA-C21MI_18,2.0
100,44.37,0.2883,16.78,40.08,0.3895,0.0083,0.1595,0.0302,102.1058,UnkA-C21MI_18_3,UnkA-C21MI_18,False,UnkA-C21MI_18,3.0
