No.,Fo+M,Fa+M,Total,Comment,material,is_std,sample,spot
1,90.2772,9.7228,100.0,SC-Olivine,SC-Ol,True,,
2,90.2076,9.7925,100.0,SC-Olivine,SC-Ol,True,,
3,90.3021,9.6979,100.0,SC-Olivine,SC-Ol,True,,
4,84.9758,15.0242,100.0,UnkA-C20-S2-1MI_1_1,UnkA-C20-S2-1MI_1,False,UnkA-C20-S2-1MI_1,1.0
5,84.558,15.442,100.0,UnkA-C20-S2-1MI_1_2,UnkA-C20-S2-1MI_1,False,UnkA-C20-S2-1MI_1,2.0
6,85.5647,14.4353,100.0,UnkA-C20-S2-1MI_1_3,UnkA-C20-S2-1MI_1,False,UnkA-C20-S2-1MI_1,3.0
7,83.9524,16.0476,100.0,UnkA-C20-S2-1MI_2_1,UnkA-C20-S2-1MI_2,False,UnkA-C20-S2-1MI_2,1.0
8,84.0273,15.9727,100.0,UnkA-C20-S2-1MI_2_2,UnkA-C20-S2-1MI_2,False,UnkA-C20-S2-1MI_2,2.0
9,83.7606,16.2394,100.0,UnkA-C20-S2-1MI_2_3,UnkA-C20-S2-1MI_2,False,UnkA-C20-S2-1MI_2,3.0
10,86.844,13.1559,100.0,UnkA-C20-S2-1MI_3_1,UnkA-C20-S2-1MI_3,False,UnkA-C20-S2-1MI_3,1.0
11,86.6617,13.3383,100.0,UnkA-C20-S2-1MI_3_2,UnkA-C20-S2-1MI_3,False,UnkA-C20-S2-1MI_3,2.0
12,86.7473,13.2527,100.0,UnkA-C20-S2-1MI_3_3,UnkA-C20-S2-1MI_3,False,UnkA-C20-S2-1MI_3,3.0
13,86.7646,13.2354,100.0,UnkA-C20-S2-1MI_4_1,UnkA-C20-S2-1MI_4,False,UnkA-C20-S2-1MI_4,1.0
14,86.5629,13.4371,100.0,UnkA-C20-S2-1MI_4_2,UnkA-C20-S2-1MI_4,False,UnkA-C20-S2-1MI_4,2.0
15,87.081,12.9191,100.0,UnkA-C20-S2-1MI_4_3,UnkA-C20-S2-1MI_4,False,UnkA-C20-S2-1MI_4,3.0
16,85.1667,14.8333,100.0,UnkA-C20-S2-1MI_5_1,UnkA-C20-S2-1MI_5,False,UnkA-C20-S2-1MI_5,1.0
17,85.1891,14.8109,100.0,UnkA-C20-S2-1MI_5_2,UnkA-C20-S2-1MI_5,False,UnkA-C20-S2-1MI_5,2.0
18,85.1317,14.8683,100.0,UnkA-C20-S2-1MI_5_3,UnkA-C20-S2-1MI_5,False,UnkA-C20-S2-1MI_5,3.0
19,86.8354,13.1646,100.0,UnkA-C20-S2-1MI_6_1,UnkA-C20-S2-1MI_6,False,UnkA-C20-S2-1MI_6,1.0
20,86.9206,13.0794,100.0,UnkA-C20-S2-1MI_6_2,UnkA-C20-S2-1MI_6,False,UnkA-C20-S2-1MI_6,2.0
21,86.5777,13.4223,100.0,UnkA-C20-S2-1MI_6_3,UnkA-C20-S2-1MI_6,False,UnkA-C20-S2-1MI_6,3.0
22,85.3252,14.6748,100.0,UnkA-C20-S2-1MI_7_1,UnkA-C20-S2-1MI_7,False,UnkA-C20-S2-1MI_7,1.0
23,85.3252,14.6748,100.0,UnkA-C20-S2-1MI_7_2,UnkA-C20-S2-1MI_7,False,UnkA-C20-S2-1MI_7,2.0
24,85.4502,14.5498,100.0,UnkA-C20-S2-1MI_7_3,UnkA-C20-S2-1MI_7,False,UnkA-C20-S2-1MI_7,3.0
25,90.3059,9.6941,100.0,SC-Olivine,SC-Ol,True,,
26,90.3815,9.6185,100.0,SC-Olivine,SC-Ol,True,,
27,90.2895,9.7105,100.0,SC-Olivine,SC-Ol,True,,
28,86.9886,13.0114,100.0,UnkA-C20-S2-3MI_1_1,UnkA-C20-S2-3MI_1,False,UnkA-C20-S2-3MI_1,1.0
29,86.6734,13.3266,100.0,UnkA-C20-S2-3MI_1_2,UnkA-C20-S2-3MI_1,False,UnkA-C20-S2-3MI_1,2.0
30,87.1644,12.8356,100.0,UnkA-C20-S2-3MI_1_3,UnkA-C20-S2-3MI_1,False,UnkA-C20-S2-3MI_1,3.0
31,85.1765,14.8235,100.0,UnkA-C20-S2-3MI_2_1,UnkA-C20-S2-3MI_2,False,UnkA-C20-S2-3MI_2,1.0
32,85.4856,14.5144,100.0,UnkA-C20-S2-3MI_2_2,UnkA-C20-S2-3MI_2,False,UnkA-C20-S2-3MI_2,2.0
33,85.6382,14.3618,100.0,UnkA-C20-S2-3MI_2_3,UnkA-C20-S2-3MI_2,False,UnkA-C20-S2-3MI_2,3.0
34,83.7525,16.2475,100.0,UnkA-C20-S2-3MI_3_1,UnkA-C20-S2-3MI_3,False,UnkA-C20-S2-3MI_3,1.0
35,83.5563,16.4437,100.0,UnkA-C20-S2-3MI_3_2,UnkA-C20-S2-3MI_3,False,UnkA-C20-S2-3MI_3,2.0
36,83.5453,16.4547,100.0,UnkA-C20-S2-3MI_3_3,UnkA-C20-S2-3MI_3,False,UnkA-C20-S2-3MI_3,3.0
37,86.5005,13.4995,100.0,UnkA-C20-S2-3MI_4_1,UnkA-C20-S2-3MI_4,False,UnkA-C20-S2-3MI_4,1.0
38,86.6861,13.3139,100.0,UnkA-C20-S2-3MI_4_2,UnkA-C20-S2-3MI_4,False,UnkA-C20-S2-3MI_4,2.0
39,86.5511,13.4489,100.0,UnkA-C20-S2-3MI_4_3,UnkA-C20-S2-3MI_4,False,UnkA-C20-S2-3MI_4,3.0
40,82.106,17.894,100.0,UnkA-C21MI_1_1,UnkA-C21MI_1,False,UnkA-C21MI_1,1.0
41,81.9167,18.0833,100.0,UnkA-C21MI_1_2,UnkA-C21MI_1,False,UnkA-C21MI_1,2.0
42,81.775,18.225,100.0,UnkA-C21MI_1_3,UnkA-C21MI_1,False,UnkA-C21MI_1,3.0
43,81.804,18.196,100.0,UnkA-C21MI_2_1,UnkA-C21MI_2,False,UnkA-C21MI_2,1.0
44,81.5932,18.4068,100.0,UnkA-C21MI_2_2,UnkA-C21MI_2,False,UnkA-C21MI_2,2.0
45,80.4957,19.5043,100.0,UnkA-C21MI_2_3,UnkA-C21MI_2,False,UnkA-C21MI_2,3.0
46,84.6438,15.3562,100.0,UnkA-C21MI_3_1,UnkA-C21MI_3,False,UnkA-C21MI_3,1.0
47,83.8564,16.1436,100.0,UnkA-C21MI_3_2,UnkA-C21MI_3,False,UnkA-C21MI_3,2.0
48,85.611,14.389,100.0,UnkA-C21MI_3_3,UnkA-C21MI_3,False,UnkA-C21MI_3,3.0
49,78.935,21.065,100.0,UnkA-C21MI_4_1,UnkA-C21MI_4,False,UnkA-C21MI_4,1.0
50,78.9042,21.0958,100.0,UnkA-C21MI_4_2,UnkA-C21MI_4,False,UnkA-C21MI_4,2.0
51,78.9805,21.0195,100.0,UnkA-C21MI_4_3,UnkA-C21MI_4,False,UnkA-C21MI_4,3.0
