,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
016MC22-1-20,4.352311542895081,1.5891273753349888,23088.324903806395,33941.649806761256,83904.54975518337,200001.98579552898,2054.00642841806,9644.912125607778,114422.66181497576,43.62984786460763,29783.496423485463,443.093777049561,1309.4646755950655,76480.78705223225,0.42692974262731037,26.090150938335633,887.5869349221783,36.063704092490305,364.6098593632405,75.48355032841197,0.29529307198388965,365.8313527935353,50.52001954423173,105.48722390749795,13.305976978551174,61.83365772385545,12.20307514343062,3.6526211313669887,8.787637202412139,1.2570709088470806,7.779608643430989,1.3756625040213333,3.534029536192736,0.3984677597854897,2.419268541554759,0.4447184819034483,9.048538711795494,4.198142469168552,7.19850982707715,5.431495058980782,1.5061132587130117
018MC22-1-26,7.4782278426561755,1.5711420024134393,31525.729444985274,30800.463770897164,81977.03756443183,212150.81487928855,2505.8490671998966,11504.993379296257,97414.93604905516,30.688280151036526,19282.06467347642,289.91650832845914,1532.0164856650267,83665.54591486973,0.7039532348475799,39.094910086027916,1207.0247422437271,35.75878388609808,403.110148047791,97.83929742301872,0.4795043773599457,491.0736957413538,76.8737336895147,153.83928736618344,17.823279728677132,69.23227031414025,12.008013875588428,3.6319906029817166,10.345051886020958,1.3772998073104825,7.590452271399992,1.3058842617462352,3.3871373039042973,0.4744032669624995,2.73419517303118,0.3672799486161286,8.998358741095153,6.019310268986553,5.325559254933865,8.998358741095153,2.1220619253376323
019MC22-1-26B,7.323183935650924,1.8851760626428122,31104.49351990578,32484.836005949226,81172.13878369935,211333.12565028982,2529.087985358144,11592.66231879682,98903.43155175242,31.92369574211619,19202.745191717415,289.0119917574711,1536.1181058570971,82834.0147059111,0.7457839368696839,37.59994015051323,1211.8367487518306,36.470906134974406,411.3827060655051,97.8427092732088,0.4557568503092513,486.14754573669086,76.71216439523444,153.12394359367414,18.157767240729946,69.69972376661255,12.253644407178278,3.5424737001309987,10.48240755711278,1.4294192123335607,7.499271809634044,1.3258381099905492,3.20065606239906,0.44436292905152,2.8277640939642184,0.40293048811431537,9.032272124310618,6.059494487066181,18.779253854788013,9.33265732110535,1.9783990547515224
020MC22-1-27,6.982584814495887,1.9232733611857091,30774.799308433223,26621.741613003032,86350.0493574218,213782.2834727157,2778.8972540861996,15584.394297026976,92629.94113660345,21.96451679366864,19620.585572930344,260.68316640784644,1543.3717466819435,81150.85345499455,0.8820107134100067,48.633090725523985,1520.9907248291645,38.97997347320335,456.2445418089207,105.22877816933276,0.5880071422733378,555.5564981091279,77.70269382166212,177.271903246614,23.018029590241703,80.66722983062353,12.029646119008703,3.528042853640027,9.469365020360211,1.5435187484675117,7.607342403161308,1.3352662189123714,3.160538389719191,0.41895508886975324,3.0257867529482176,0.35035425560453043,8.023847462271588,5.769820083557128,26.72982467584215,9.44486472276549,2.03352470036196
022MC22-2-5,4.292482439987806,1.046366910578745,27355.88357524461,37565.07149216608,85454.22912235501,202916.42965172237,2260.33088484621,11866.18126302136,104867.47441432247,37.704880380059095,22948.85963014766,340.8064589887271,1236.330066981086,77098.88232658607,0.5469645214388894,32.44926476101585,1049.9697421003966,29.940362282241814,343.5412815959216,96.23008417402026,0.3602831521651815,452.3872213622605,74.63687611025888,142.9360980916715,15.968985919400618,60.546594416670104,9.429192728283462,2.7586036733439636,8.501731148452302,1.230670173237501,6.099843467351092,1.0939290428777788,2.86561847101679,0.3543378856278022,2.508902478774036,0.3198553397110027,7.621831700920176,5.659893743585029,4.423278303810149,7.859642362415346,1.7835799612137697
029MC22-2-9,5.127403319357876,1.295231318668691,26444.35247518038,37271.308816233664,80502.86539412025,212043.100599799,2744.0813534879144,13545.036728648254,91958.27653450443,32.048946843752574,21449.512334751376,330.5944136013541,1368.0532910728489,83946.7998353318,0.7278985923096777,35.59210028573056,1022.0552587312943,29.608345681302474,336.8029604181132,100.89959016339738,0.3949920302386339,445.2384418901284,72.76845044884101,144.80900230537233,16.934346662263383,67.12723635844101,11.057635968469073,3.2755436653935495,9.15225435918786,1.1453698437814046,6.1978424256956375,1.0918478884645164,2.622575810527515,0.336117879390057,2.365670425006452,0.27403241122246685,7.792796694138902,5.940937040174575,4.046259821956737,7.696457174568503,2.0017211288516137
030MC22-2-23,4.79653579100955,1.8222646891608332,25878.535908408197,32519.612003485738,82403.28051920353,213363.57896927348,3145.6687104855337,11041.656809260694,100073.24709793206,35.85881779130283,21699.046170390986,367.7309197155422,1221.9646202947472,78303.48867937317,0.754040561032069,35.42943358293735,925.8675538772517,28.7792147460573,318.6554465350383,86.72513730425781,0.41262775145366,411.80040139363865,58.961782758479835,117.93403830252956,13.342328816039664,50.9501017975141,8.933286091116038,2.859070460579928,8.22113667236353,1.1310608415481034,5.843814347998534,1.0996424848384339,2.8485976750100384,0.3487437594773319,2.335431182085436,0.3204672384386293,7.781279678428156,5.48773963862228,4.398569939353735,6.870147333847739,1.769900761311384
036MC22-2-27,4.548562402461897,2.4562236973294245,26322.371423362914,34702.92707880886,79871.06144773599,214789.086632404,2277.328738040598,11311.967666960572,104271.39234231462,33.19313413196569,20072.305540200083,341.85857876303004,1162.089465392978,75270.15646342776,0.625427330338511,32.93159179382413,922.7668545874451,30.964338554759365,298.65860734564814,91.51707553753337,0.4002734914166469,400.95577577701624,69.47929069760548,128.1898599073824,15.135341394191963,61.871820079487954,9.358667143065354,3.104393839680245,8.505811692603748,1.1257691946093196,6.470330017502049,1.0347979465600816,2.695023223458674,0.32863363357787206,2.592680569403281,0.30361654036433167,6.754615167655918,4.980675830695778,7.061643129822095,7.254957031926726,1.7853107429662947
040MC22-2-31,6.414474811860325,0.9203785235172941,23598.27055254375,39409.82887275082,85840.93436126987,202135.94498058798,294.6150437014032,2237.1114840550003,98803.53609486987,39.44479386502689,36968.665713385,419.72078157664686,1532.9655638587485,80020.09430546063,0.3193149979549796,9.35405111656352,224.59114297339357,33.18997655214406,166.47581334558728,23.920449993862732,0.11363857280162508,81.12479271573864,16.378981071573072,45.662044707562075,7.4099862760729085,32.71100405521158,11.006975811859885,4.968165703476005,11.78648007157351,1.436917490797408,6.452041282207969,1.6529246952963648,5.212347760735696,0.5259305848670253,2.4512121901838135,0.32682829202450847,4.423451883435158,1.8783235173822328,4.808508204498516,0.685588083844515,0.339037394887493
041MC22-2-40,5.095331980056888,2.299113210513474,27513.91240121308,37203.05899046052,81331.03661462181,218373.9877754557,2416.92722800357,10390.686809428447,89560.60878799667,32.57077048227421,19466.02195329786,276.0903562120662,1264.6779676354206,79990.48791103945,0.7767274359842817,29.070318837438382,828.0639413199361,29.163526129756494,301.2459687721438,69.8847565069591,0.3106909743937127,364.49229479289056,50.155879632958346,106.27702597427599,12.779755413394714,52.061450942573124,10.211376691740023,3.1379788413764977,8.554358161640222,1.149556605256737,6.28631404856612,1.0874184103779945,2.8272878669827852,0.3893993545734532,2.091985894250999,0.26719423797859293,7.176961508494762,4.246109983380739,19.50103682611203,5.15747017493563,1.3670402873323357
