,sample,host_contaminated,sum_oxides_raw,scale_factor,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
015MC22-1-16,MC22-1-16,True,151.79484128011404,,5.1,1.22,20562.38,232828.48,68050.4,284910.28,2543.37,9764.58,88337.04,38.06,19325.18,308.06,2454.12,147266.05,0.71,29.62,887.36,20.75,291.34,93.89,0.344,400.57,62.11,127.59,14.66,57.33,9.25,2.88,6.8,0.877,4.62,0.88,2.47,0.262,1.37,0.288,6.86,4.96,11.88,7.32,1.88
016MC22-1-20,MC22-1-20,False,84.32300775874101,1.1859159517425288,3.67,1.34,19468.77,28620.62,70750.84,168647.69,1732.0,8132.88,96484.63,36.79,25114.34,373.63,1104.18,64490.9,0.36,22.0,748.44,30.41,307.45,63.65,0.249,308.48,42.6,88.95,11.22,52.14,10.29,3.08,7.41,1.06,6.56,1.16,2.98,0.336,2.04,0.375,7.63,3.54,6.07,4.58,1.27
017MC22-1-21,MC22-1-21,True,104.04355654984617,,4.47,0.95,15344.5,107028.45,59117.61,189700.77,1182.82,5739.62,94269.05,33.69,23916.99,287.85,1806.7,109588.72,0.37,11.69,3855.13,24.87,275.61,57.6,0.137,368.46,37.45,78.94,10.63,50.12,9.81,2.45,6.11,0.839,6.06,1.04,2.46,0.308,1.92,0.391,5.96,2.8,8.99,4.65,1.17
018MC22-1-26,MC22-1-26,False,98.01787474552893,1.0202220794892463,7.33,1.54,30900.85,30189.96,80352.15,207945.72,2456.18,11276.95,95484.05,30.08,18899.87,284.17,1501.65,82007.19,0.69,38.32,1183.1,35.05,395.12,95.9,0.47,481.34,75.35,150.79,17.47,67.86,11.77,3.56,10.14,1.35,7.44,1.28,3.32,0.465,2.68,0.36,8.82,5.9,5.22,8.82,2.08
019MC22-1-26B,MC22-1-26,False,96.54270686253875,1.0358110234301166,7.07,1.82,30029.12,31361.74,78365.78,204026.72,2441.65,11191.87,95484.05,30.82,18538.85,279.02,1483.01,79970.2,0.72,36.3,1169.94,35.21,397.16,94.46,0.44,469.34,74.06,147.83,17.53,67.29,11.83,3.42,10.12,1.38,7.24,1.28,3.09,0.429,2.73,0.389,8.72,5.85,18.13,9.01,1.91
020MC22-1-27,MC22-1-27,False,81.63166150401449,1.2250148797361204,5.7,1.57,25121.98,21731.77,70488.98,174514.03,2268.46,12721.8,75615.36,17.93,16016.61,212.8,1259.88,66244.79,0.72,39.7,1241.61,31.82,372.44,85.9,0.48,453.51,63.43,144.71,18.79,65.85,9.82,2.88,7.73,1.26,6.21,1.09,2.58,0.342,2.47,0.286,6.55,4.71,21.82,7.71,1.66
021MC22-2-1,MC22-2-1,True,253.5363627368702,,5.2,0.96,17005.31,519711.91,76921.13,491516.72,1786.53,8273.93,90052.32,47.17,16352.89,214.67,3556.48,219087.5,0.31,15.78,760.17,29.94,298.4,48.69,0.174,187.02,29.03,80.21,11.87,50.02,7.34,1.91,5.37,1.19,5.18,0.77,1.61,0.225,2.88,0.294,5.63,2.14,100.83,3.68,0.98
022MC22-2-5,MC22-2-5,False,84.10051876671756,1.1890533074758465,3.61,0.88,23006.44,31592.42,71867.45,170653.77,1900.95,9979.52,88194.09,31.71,19300.11,286.62,1039.76,64840.56,0.46,27.29,883.03,25.18,288.92,80.93,0.303,380.46,62.77,120.21,13.43,50.92,7.93,2.32,7.15,1.035,5.13,0.92,2.41,0.298,2.11,0.269,6.41,4.76,3.72,6.61,1.5
023MC22-2-8,MC22-2-8,True,108.69296725290484,,3.09,5.8,11938.23,136057.78,45683.98,208577.73,1904.76,7952.87,93482.88,28.16,16378.47,241.05,1659.64,107640.5,0.69,16.06,742.53,19.86,246.33,86.19,0.167,252.32,42.65,85.75,12.43,52.15,8.04,2.21,5.06,0.79,4.63,0.541,1.92,0.218,1.79,0.157,4.03,3.56,153.69,6.04,1.38
029MC22-2-9,MC22-2-9,False,93.41960641005065,1.0704391063377612,4.79,1.21,24704.21,34818.71,75205.46,198089.83,2563.51,12653.72,85907.06,29.94,20038.05,308.84,1278.03,78422.77,0.68,33.25,954.8,27.66,314.64,94.26,0.369,415.94,67.98,135.28,15.82,62.71,10.33,3.06,8.55,1.07,5.79,1.02,2.45,0.314,2.21,0.256,7.28,5.55,3.78,7.19,1.87
