,n,mean,KL2_2RSD_%,BCR2G_dev_%,GOR132_dev_%,GOR128_dev_%,BM90_dev_%
Li7,17,5.04764705882353,11.00060131447623,-15.740740740740742,0.7584269662921236,-3.533653846153843,-15.000000000000002
B11,17,3.101176470588235,133.77877716581952,-42.111111111111114,-16.671511627906977,-23.02127659574468,-59.16666666666667
Na23,17,17377.54235294118,10.031187962224516,-4.004331071839472,5.116990742439108,10.920192685276012,2.060753777634896
Mg24,17,44110.15705882353,8.393928859060354,-3.0459542502544434,4.771663146912769,6.056627910053331,0.597033690052859
Al27,17,70233.22647058824,7.167501986135809,0.9717537383960226,-1.59874353167264,1.4150558996108233,-0.635355533875235
Si29,17,235391.38705882351,5.5907058734202115,-4.089668236425081,-0.6298669052587912,1.171879727712673,-2.645838476736702
P31,17,1006.5505882352942,11.827853596944303,-17.857857217648988,-26.00452385468458,-22.926701572286465,937.3973857105957
K39,17,3999.2070588235297,5.600652992835747,-0.15415549765997583,-31.96153963849083,-24.335983458233166,-19.95230347563362
Sc45,17,31.742352941176463,4.284005928176378,4.696969696969688,-3.643835616438371,-2.912772585669789,24.022556390977442
Ti47,17,15281.460588235293,6.04472666257619,-0.22155754961886653,-2.919024805728746,-0.5134237963030662,-3.6898424700969135
V51,17,307.1794117647059,8.542068405716083,-4.068235294117652,5.925233644859817,-0.1931216931216829,-8.270491803278691
Mn55,17,1270.301176470588,9.943395230488429,0.005606051606483957,3.72095468421782,5.000330713713653,-0.5506531716654014
Fe57,17,82919.08411764706,9.415289292851678,-7.489924350520912,6.595001691917794,6.275065676267021,6.829255993743172
As75,17,0.16729411764705882,43.84966243705976,,-8.906250000000007,27.499999999999993,196.66666666666666
Rb85,17,8.695294117647059,7.492149258126516,-1.0780141843971502,3.3333333333333255,-1.35467980295568,-24.33155080213903
Sr88,17,355.63470588235293,5.540173333814704,-2.20760233918129,0.3758169934640588,0.891666666666661,-15.448717948717954
Y89,17,25.47,5.295843593237496,2.0095238095238295,0.4263565891472846,-3.029661016949167,3.899082568807317
Zr90,17,152.33117647058822,4.611637865236268,-0.8478260869565075,-2.7525252525252433,-5.100000000000016,-1.1500000000000021
Nb93,17,14.923529411764704,6.49823825386312,-0.6400000000000006,-36.883561643835606,1.5151515151515165,-43.84615384615385
Cs133,17,0.11682352941176471,24.42380149631799,-0.8620689655172231,6.6442953020134246,-12.1875,-18.691588785046733
Ba138,17,122.08352941176472,11.188286874076885,-2.3982430453879933,-5.460122699386502,0.14150943396224855,-15.290806754221391
La139,17,13.071176470588236,11.243370600699356,-2.469635627530348,5.403800475059381,-9.297520661157021,-12.107623318385649
Ce140,17,32.26352941176471,7.316991194649768,-4.590368980612881,-13.804071246819344,-2.611111111111107,-9.023354564755836
Pr141,17,4.5847058823529405,5.113233345769078,-4.179104477611957,-3.5112359550561676,-12.575000000000003,1.1999999999999975
Nd146,17,21.527058823529412,7.255901339261059,-2.549019607843118,-10.449927431059502,-9.151785714285726,9.12806539509536
Sm147,17,5.510588235294119,8.147395322096246,-8.44714213454728,-0.9350393700787465,-4.380952380952385,-12.244897959183668
Eu151,17,1.9058823529411764,10.893247322076919,-2.0304568527918914,3.333333333333336,0.09469696969695926,-9.245283018867914
Gd157,17,5.892352941176471,9.990321285785653,-1.4903129657228098,-1.680672268907546,1.709401709401711,11.067193675889337
Tb159,17,0.8885882352941178,8.720450660703715,-0.39215686274509837,-9.10780669144982,-5.645161290322585,-12.647058823529408
Dy163,17,5.192941176470589,8.846412173143998,-1.0869565217391348,-2.5581395348837286,-5.303030303030302,3.3240997229916927
Ho165,17,0.9569999999999999,12.291617375682033,3.1496062992126013,-3.6982248520710037,-3.4424379232505737,5.421686746987939
Er166,17,2.513529411764706,13.61700896050106,0.8108108108108175,-0.4807692307692347,-3.2142857142857095,-10.227272727272736
Tm169,17,0.33276470588235296,14.846555289741932,3.986928104575181,-2.77777777777778,-6.127450980392148,8.53658536585365
Yb172,17,2.0970588235294123,8.628136755811592,5.506391347099307,-9.006211180124238,-8.687943262411352,10.535714285714274
Lu175,17,0.28452941176470586,13.598539485219932,2.0543406229290864,-4.324894514767925,-4.733009708737855,23.222222222222225
Hf178,17,3.927058823529412,12.757314904703822,2.3415977961432497,-0.5602240896358549,5.80229226361033,8.94230769230769
Ta181,17,0.9505882352941176,12.759582877213134,4.017094017094016,-19.516129032258064,-9.210526315789464,74.19354838709678
Pb208,17,2.0588235294117645,7.747731728627129,-0.7878787878787818,12.08974358974358,-11.231884057971001,-16.315789473684205
Th232,17,1.0200000000000002,9.655494080376123,3.9548022598869914,-14.999999999999988,40.62499999999999,2.314814814814817
U238,17,0.5415294117647059,17.765095338264864,1.3138734019232622e-14,17.187499999999986,-25.61983471074379,-6.547619047619053
