,KL2_2RSD_%,BCR2G_dev_%,verdict
Li7,11.00060131447623,-15.740740740740742,caveat / exclude
B11,133.77877716581952,-42.111111111111114,caveat / exclude
Na23,10.031187962224516,-4.004331071839472,reportable
Mg24,8.393928859060354,-3.0459542502544434,reportable
Al27,7.167501986135809,0.9717537383960226,reportable
Si29,5.5907058734202115,-4.089668236425081,reportable
P31,11.827853596944303,-17.857857217648988,caveat / exclude
K39,5.600652992835747,-0.15415549765997583,reportable
Sc45,4.284005928176378,4.696969696969688,reportable
Ti47,6.04472666257619,-0.22155754961886653,reportable
V51,8.542068405716083,-4.068235294117652,reportable
Mn55,9.943395230488429,0.005606051606483957,reportable
Fe57,9.415289292851678,-7.489924350520912,reportable
As75,43.84966243705976,,caveat / exclude
Rb85,7.492149258126516,-1.0780141843971502,reportable
Sr88,5.540173333814704,-2.20760233918129,reportable
Y89,5.295843593237496,2.0095238095238295,reportable
Zr90,4.611637865236268,-0.8478260869565075,reportable
Nb93,6.49823825386312,-0.6400000000000006,reportable
Cs133,24.42380149631799,-0.8620689655172231,caveat / exclude
Ba138,11.188286874076885,-2.3982430453879933,reportable
La139,11.243370600699356,-2.469635627530348,reportable
Ce140,7.316991194649768,-4.590368980612881,reportable
Pr141,5.113233345769078,-4.179104477611957,reportable
Nd146,7.255901339261059,-2.549019607843118,reportable
Sm147,8.147395322096246,-8.44714213454728,reportable
Eu151,10.893247322076919,-2.0304568527918914,reportable
Gd157,9.990321285785653,-1.4903129657228098,reportable
Tb159,8.720450660703715,-0.39215686274509837,reportable
Dy163,8.846412173143998,-1.0869565217391348,reportable
Ho165,12.291617375682033,3.1496062992126013,reportable
Er166,13.61700896050106,0.8108108108108175,reportable
Tm169,14.846555289741932,3.986928104575181,reportable
Yb172,8.628136755811592,5.506391347099307,reportable
Lu175,13.598539485219932,2.0543406229290864,reportable
Hf178,12.757314904703822,2.3415977961432497,reportable
Ta181,12.759582877213134,4.017094017094016,reportable
Pb208,7.747731728627129,-0.7878787878787818,reportable
Th232,9.655494080376123,3.9548022598869914,reportable
U238,17.765095338264864,1.3138734019232622e-14,reportable
