sample,oxide,No,Q_exp,Q_crit,n
UnkA-C20-S2-1MI_1,CaO,6,0.96,0.941,3
UnkA-C20-S2-1MI_3,SiO2,12,0.97,0.941,3
UnkA-C20-S2-1MI_4,SiO2,15,0.97,0.941,3
UnkA-C20-S2-1MI_4,Cr2O3,15,0.97,0.941,3
UnkA-C20-S2-1MI_5,Al2O3,16,0.99,0.941,3
UnkA-C20-S2-1MI_6,SiO2,20,1.0,0.941,3
UnkA-C20-S2-1MI_6,MnO,20,0.96,0.941,3
UnkA-C20-S2-1MI_6,Cr2O3,21,0.94,0.941,3
UnkA-C20-S2-1MI_6,NiO,20,0.98,0.941,3
UnkA-C20-S2-1MI_7,CaO,22,0.98,0.941,3
UnkA-C20-S2-1MI_7,Cr2O3,22,0.96,0.941,3
UnkA-C20-S2-3MI_2,Cr2O3,31,0.98,0.941,3
UnkA-C20-S2-3MI_2,Al2O3,33,0.98,0.941,3
UnkA-C20-S2-3MI_3,Cr2O3,36,0.94,0.941,3
UnkA-C21MI_1,Cr2O3,41,0.98,0.941,3
UnkA-C21MI_10,MgO,72,0.95,0.941,3
UnkA-C21MI_10,FeO,72,1.0,0.941,3
UnkA-C21MI_10,Cr2O3,72,0.98,0.941,3
UnkA-C21MI_11,NiO,75,0.97,0.941,3
UnkA-C21MI_12,NiO,77,0.99,0.941,3
UnkA-C21MI_13,NiO,82,0.96,0.941,3
UnkA-C21MI_14,NiO,83,0.98,0.941,3
UnkA-C21MI_14,Al2O3,84,1.0,0.941,3
UnkA-C21MI_15,SiO2,88,1.0,0.941,3
UnkA-C21MI_15,NiO,87,0.96,0.941,3
UnkA-C21MI_16,Al2O3,93,0.98,0.941,3
UnkA-C21MI_19,MgO,101,1.0,0.941,3
UnkA-C21MI_19,MnO,102,0.98,0.941,3
UnkA-C21MI_21,SiO2,107,1.0,0.941,3
UnkA-C21MI_23,CaO,113,0.99,0.941,3
UnkA-C21MI_26,NiO,125,1.0,0.941,3
UnkA-C21MI_3,SiO2,47,0.96,0.941,3
UnkA-C21MI_4,SiO2,52,0.99,0.765,4
UnkA-C21MI_5,SiO2,55,0.98,0.941,3
UnkA-C21MI_5,MgO,54,1.0,0.941,3
UnkA-C21MI_5,FeO,54,0.97,0.941,3
UnkA-C21MI_5,CaO,55,0.96,0.941,3
UnkA-C21MI_6,SiO2,56,1.0,0.941,3
UnkA-C21MI_8,CaO,66,0.96,0.941,3
