No.,MgO,MnO,FeO,SiO2,CaO,Cr2O3,NiO,Al2O3,Total,Comment,material,is_std,sample,spot,datetime,curr_A,minutes,bracket,k_Si,SiO2_corr,Total_corr,MT_raw,MT_corr,fail_contam,Fo,keep
4,46.01,0.2421,14.5,39.783795261179264,0.3536,0.0355,0.2042,0.0358,100.0811,UnkA-C20-S2-1MI_1_1,UnkA-C20-S2-1MI_1,False,UnkA-C20-S2-1MI_1,1.0,2017-03-02 02:22:00,9.849e-08,10.0,,1.0280050455085081,39.783795261179264,101.16489526117927,2.1050400104808467,2.0476942400993545,False,84.9764666924651,True
5,45.73,0.2578,14.88,39.603776499519476,0.353,0.0244,0.1967,0.034,99.9959,UnkA-C20-S2-1MI_1_2,UnkA-C20-S2-1MI_1,False,UnkA-C20-S2-1MI_1,2.0,2017-03-02 02:25:00,9.852e-08,13.0,,1.028135423144327,39.603776499519476,101.07967649951948,2.1124624418093805,2.0546538853304726,False,84.56369572421411,True
6,46.3,0.2209,13.92,40.834160714285716,0.3368,0.0266,0.2088,0.0248,100.7479,UnkA-C20-S2-1MI_1_3,UnkA-C20-S2-1MI_1,False,UnkA-C20-S2-1MI_1,3.0,2017-03-02 02:29:00,9.856e-08,17.0,,1.0283092599920856,40.834160714285716,101.87206071428571,2.049359208602537,1.992940536797568,False,85.56797863773978,True
7,44.96,0.2504,15.32,41.13758550511618,0.3416,0.0176,0.1803,0.0352,101.105,UnkA-C20-S2-1MI_2_1,UnkA-C20-S2-1MI_2,False,UnkA-C20-S2-1MI_2,1.0,2017-03-02 02:32:00,9.858e-08,20.0,,1.0284396376279044,41.13758550511618,102.24258550511618,2.0140115638953806,1.9583177176452446,False,83.95199255865697,True
8,44.92,0.2524,15.22,39.52794568658488,0.3443,0.011,0.1934,0.0391,99.4103,UnkA-C20-S2-1MI_2_2,UnkA-C20-S2-1MI_2,False,UnkA-C20-S2-1MI_2,2.0,2017-03-02 02:35:00,9.86e-08,23.0,,1.0285700152637232,39.52794568658488,100.50824568658489,2.0929566858284328,2.034821796056152,False,84.02808417771264,True
9,44.49,0.2462,15.37,40.20330974051671,0.3368,0.0049,0.1965,0.0488,99.7733,UnkA-C20-S2-1MI_2_3,UnkA-C20-S2-1MI_2,False,UnkA-C20-S2-1MI_2,3.0,2017-03-02 02:39:00,9.858e-08,27.0,,1.0287438521114818,40.20330974051671,100.89660974051671,2.044676239534864,1.9875464969615086,False,83.76564480885699,True
10,47.3,0.2065,12.77,40.11580621784725,0.3588,0.0418,0.2019,0.0451,99.9142,UnkA-C20-S2-1MI_3_1,UnkA-C20-S2-1MI_3,False,UnkA-C20-S2-1MI_3,1.0,2017-03-02 02:42:00,9.856e-08,30.0,,1.0288742297473006,40.11580621784725,101.04000621784724,2.100920495802913,2.04196046033626,False,86.84654224318062,True
11,47.27,0.2181,12.97,40.153455558539214,0.3563,0.0319,0.2124,0.0242,100.1029,UnkA-C20-S2-1MI_3_2,UnkA-C20-S2-1MI_3,False,UnkA-C20-S2-1MI_3,2.0,2017-03-02 02:46:00,9.857e-08,34.0,,1.0290480665950592,40.153455558539214,101.23635555853922,2.1028452715605543,2.0434859554408407,False,86.66066878956347,True
12,47.14,0.2082,12.83,41.32151453586975,0.3522,0.0436,0.2098,0.0344,100.9682,UnkA-C20-S2-1MI_3_3,UnkA-C20-S2-1MI_3,False,UnkA-C20-S2-1MI_3,3.0,2017-03-02 02:49:00,9.863e-08,37.0,,1.029178444230878,41.32151453586975,102.13971453586976,2.0355484153822117,1.977838174509582,False,86.75401371835564,True
13,47.47,0.2114,12.9,41.18264596288654,0.3616,0.0332,0.219,0.0353,101.2405,UnkA-C20-S2-1MI_4_1,UnkA-C20-S2-1MI_4,False,UnkA-C20-S2-1MI_4,1.0,2017-03-02 02:52:00,9.825e-08,40.0,,1.0293088218666968,41.18264596288654,102.41314596288655,2.056934457865804,1.99836474162872,False,86.77164198457857,True
